"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
1,"AARVEEDEN","Aarvee Denims & Exports Limited","INE273D01019","LTASM - I (13)"
2,"ADROITINFO","Adroit Infotech Limited","INE737B01033","LTASM - I (13)"
3,"AEGISLOG","Aegis Logistics Limited","INE208C01025","LTASM - I (13)"
4,"AGNI","Agni Green Power Limited","INE0LF301013","LTASM - I (13)"
5,"AJOONI","Ajooni Biotech Limited","INE820Y01021","LTASM - I (13)"
6,"AKASH","Akash Infra Projects Limited","INE737W01013","LTASM - I (13)"
7,"AKASH","Akash Infra-Projects Limited","INE737W01013","LTASM - I (13)"
8,"AKI","AKI India Limited","INE642Z01026","LTASM - I (13)"
9,"ALKALI","Alkali Metals Limited","INE773I01017","LTASM - I (13)"
10,"ALPHAGEO","Alphageo (India) Limited","INE137C01018","LTASM - I (13)"
11,"AMDIND","AMD Industries Limited","INE005I01014","LTASM - I (13)"
12,"ANANDRATHI","Anand Rathi Wealth Limited","INE463V01026","LTASM - I (13)"
13,"ANIKINDS","Anik Industries Limited","INE087B01017","LTASM - I (13)"
14,"APS","Australian Premium Solar (India) Limited","INE0P0001010","LTASM - I (13)"
15,"ARE&M","Amara Raja Energy & Mobility Limited","INE885A01032","LTASM - I (13)"
16,"ASHAPURMIN","Ashapura Minechem Limited","INE348A01023","LTASM - I (13)"
17,"ASHIMASYN","Ashima Limited","INE440A01010","LTASM - I (13)"
18,"AURIONPRO","Aurionpro Solutions Limited","INE132H01018","LTASM - I (13)"
19,"BASML","Bannari Amman Spinning Mills Limited","INE186H01022","LTASM - I (13)"
20,"BBL","Bharat Bijlee Limited","INE464A01036","LTASM - I (13)"
21,"BIRDYS","Grill Splendour Services Limited","INE0PC901019","LTASM - I (13)"
22,"BSE","BSE Limited","INE118H01025","LTASM - I (13)"
23,"COMSYN","Commercial Syn Bags Limited","INE073V01015","LTASM - I (13)"
24,"CUPID","Cupid Limited","INE509F01029","LTASM - IV (16)"
25,"DCMNVL","DCM Nouvelle Limited","INE08KP01019","LTASM - I (13)"
26,"DHTL","Docmode Health Technologies Limited","INE0OGG01015","LTASM - I (13)"
27,"DLINKINDIA","D-Link (India) Limited","INE250K01012","LTASM - I (13)"
28,"DOLATALGO","Dolat Algotech Limited","INE966A01022","LTASM - I (13)"
29,"DOLPHIN","Dolphin Offshore Enterprises (India) Limited","INE920A01037","LTASM - IV (16)"
30,"DSSL","Dynacons Systems & Solutions Limited","INE417B01040","LTASM - I (13)"
31,"DYNAMATECH","Dynamatic Technologies Limited","INE221B01012","LTASM - I (13)"
32,"DYNPRO","Dynemic Products Limited","INE256H01015","LTASM - I (13)"
33,"E2E","E2E Networks Limited","INE255Z01019","LTASM - IV (16)"
34,"EIMCOELECO","Eimco Elecon (India) Limited","INE158B01016","LTASM - IV (16)"
35,"ELECTCAST","Electrosteel Castings Limited","INE086A01029","LTASM - I (13)"
36,"ESSARSHPNG","Essar Shipping Limited","INE122M01019","LTASM - I (13)"
37,"EXICOM","Exicom Tele-Systems Limited","INE777F01014","LTASM - I (13)"
38,"FLEXITUFF","Flexituff Ventures International Limited","INE060J01017","LTASM - I (13)"
39,"FMNL","Future Market Networks Limited","INE360L01017","LTASM - I (13)"
40,"FORCEMOT","FORCE MOTORS LTD","INE451A01017","LTASM - I (13)"
41,"GALLANTT","Gallantt Ispat Limited","INE297H01019","LTASM - IV (16)"
42,"GENSOL","Gensol Engineering Limited","INE06H201014","LTASM - I (13)"
43,"GET&D","GE T&D India Limited","INE200A01026","LTASM - IV (16)"
44,"GILLANDERS","Gillanders Arbuthnot & Company Limited","INE047B01011","LTASM - I (13)"
45,"GPTINFRA","GPT Infraprojects Limited","INE390G01014","LTASM - IV (16)"
46,"GRCL","Gayatri Rubbers And Chemicals Limited","INE0LVM01018","LTASM - I (13)"
47,"GRPLTD","GRP Limited","INE137I01015","LTASM - IV (16)"
48,"GTLINFRA","GTL Infrastructure Limited","INE221H01019","LTASM - I (13)"
49,"GVKPIL","GVK Power & Infrastructure Limited","INE251H01024","LTASM - II (14)"
50,"GVPTECH","GVP Infotech Limited","INE382T01030","LTASM - II (14)"
51,"HARRMALAYA","Harrisons  Malayalam Limited","INE544A01019","LTASM - I (13)"
52,"HAVISHA","Sri Havisha Hospitality and Infrastructure Limited","INE293B01029","LTASM - I (13)"
53,"HBLPOWER","HBL Power Systems Limited","INE292B01021","LTASM - I (13)"
54,"HERITGFOOD","Heritage Foods Limited","INE978A01027","LTASM - I (13)"
55,"HINDMOTORS","Hindustan Motors Limited","INE253A01025","LTASM - I (13)"
56,"HINDZINC","Hindustan Zinc Limited","INE267A01025","LTASM - I (13)"
57,"HITECHGEAR","The Hi-Tech Gears Limited","INE127B01011","LTASM - IV (16)"
58,"HPIL","Hindprakash Industries Limited","INE05X901010","LTASM - I (13)"
59,"HPL","HPL Electric & Power Limited","INE495S01016","LTASM - I (13)"
60,"HUBTOWN","Hubtown Limited","INE703H01016","LTASM - IV (16)"
61,"IEL","Indiabulls Enterprises Limited","INE059901020","LTASM - I (13)"
62,"IMFA","Indian Metals & Ferro Alloys Limited","INE919H01018","LTASM - I (13)"
63,"INDOTECH","Indo Tech Transformers Limited","INE332H01014","LTASM - IV (16)"
64,"INDOTHAI","Indo Thai Securities Limited","INE337M01013","LTASM - I (13)"
65,"IWEL","Inox Wind Energy Limited","INE0FLR01028","LTASM - I (13)"
66,"IZMO","IZMO Limited","INE848A01014","LTASM - I (13)"
67,"JAIBALAJI","Jai Balaji Industries Limited","INE091G01018","LTASM - IV (16)"
68,"JITFINFRA","JITF Infralogistics Limited","INE863T01013","LTASM - I (13)"
69,"JPPOWER","Jaiprakash Power Ventures Limited","INE351F01018","LTASM - I (13)"
70,"JUBLINDS","Jubilant Industries Limited","INE645L01011","LTASM - I (13)"
71,"JWL","Jupiter Wagons Limited","INE209L01016","LTASM - I (13)"
72,"JYOTICNC","Jyoti CNC Automation Limited","INE980O01024","LTASM - I (13)"
73,"JYOTISTRUC","Jyoti Structures Limited","INE197A01024","LTASM - IV (16)"
74,"KALYANKJIL","Kalyan Jewellers India Limited","INE303R01014","LTASM - I (13)"
75,"KARMAENG","Karma Energy Limited","INE725L01011","LTASM - I (13)"
76,"KBCGLOBAL","KBC Global Limited","INE278R01034","LTASM - I (13)"
77,"KICL","Kalyani Investment Company Limited","INE029L01018","LTASM - I (13)"
78,"KIRLOSBROS","Kirloskar Brothers Limited","INE732A01036","LTASM - I (13)"
