"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE040A08708","HDFC BANK LIMITED SR Z001 6 NCD 29MY26 FVRS10LAC","96.7661","96.7661","7.9200","7.9200","585.00","4"
"INE062A08439","STATE BANK OF INDIA SR 2 7.36 BD 11JL39 FVRS1LAC","100.0000","100.0000","7.3555","7.3555","450.00","1"
"INE831R07466","ADITYA BIRLA HOUSING FINANCE LIMITED SR D1 8.1701 NCD 25AG27 FVRS1LAC","100.0051","100.0000","8.1778","8.1800","295.00","5"
"INE831R07458","ADITYA BIRLA HOUSING FINANCE LIMITED SR D2 8.1168 NCD 15MY29 FVRS1LAC","99.9982","100.0000","8.1202","8.1187","275.00","3"
"INE756I07EJ2","HDB FINANCIAL SERVICES LIMITED SR A 1 FX 183 7.65 NCD 10SP27 FVRS10LAC","98.2178","98.2197","8.2997","8.3000","215.00","4"
"INE556F08JU6","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR II 5.59 BD 21FB25 FVRS10LAC","98.7823","98.7823","7.5350","7.5350","175.00","2"
"INE457A08167","BANK OF MAHARASHTRA SR VIII 7.89 LOA 04JL34 FVRS1CR","99.9965","100.0200","7.8820","7.8785","155.00","4"
"INE115A07ML7","LIC HOUSING FINANCE LTD SRTR349OP-1 7.4NCD06SP24FVRS10LACLOAUPT30NV17","99.9593","99.9593","7.2200","7.2200","125.00","1"
"INE018A08BG4","LARSEN AND TOUBRO LIMITED SR II 7.335 NCD 09SP24 FVRS1LAC","99.9706","99.9706","7.0700","7.0700","125.00","1"
"INE115A07QS3","LIC HOUSING FINANCE LTD TR 442 7.9265 NCD 14JL27 FVRS1LAC","100.1316","100.1165","7.8742","7.8800","120.00","3"
"INE403D08124","BHARTI TELECOM LIMITED SR XI BR LOA 21NV25 FVRS10LAC","99.9456","99.9456","8.9000","8.9000","120.00","1"
"INE040A08AF2","HDFC BANK LIMITED SR US006 7.75 NCD 13JU33 FVRS1LAC","100.4298","100.4497","7.6713","7.6700","90.00","6"
"INE261F08DX0","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 23H 7.58 LOA 31JL26 FVRS1LAC","99.8092","99.8092","7.6869","7.6900","90.00","2"
"INE020B08ED9","RURAL ELECTRIFICATION CORPORATION LIMITED SR 218 A 7.56 BD 30JU26 FVRS1LAC","99.8820","99.8820","7.6200","7.6200","75.00","2"
"INE261F08EB4","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 24B 7.49 LOA 15OT26 FVRS1LAC","99.5519","99.5552","7.6867","7.6850","75.00","2"
"INE261F08DT8","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 23F 7.5 BD 17DC25 FVRS10LAC","99.6606","99.6606","7.7000","7.7000","75.00","2"
