"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","SPREAD 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","NO. OF TRADES 
"
"Currency Futures","USDINR","29-Jul-2024","-","-","0.0050","83.6025","-0.02","-0.03","83.63","83.63","83.59","79,082","661.21","24,56,802","651"
"Currency Futures","USDINR","28-Aug-2024","-","-","0.0050","83.6700","-0.05","-0.07","83.73","83.73","83.66","5,526","46.25","66,994","159"
"Currency Futures","GBPINR","29-Jul-2024","-","-","0.0075","108.3750","-0.12","-0.11","108.45","108.48","108.20","3,215","34.84","37,800","238"
"Currency Futures","EURINR","29-Jul-2024","-","-","0.0950","91.1975","-0.04","-0.04","91.13","91.30","91.00","2,347","21.39","24,517","129"
"Currency Futures","GBPINR","28-Aug-2024","-","-","0.0050","108.3950","0.02","0.02","108.38","108.41","108.20","1,438","15.58","11,541","138"
"Currency Futures","EURINR","28-Aug-2024","-","-","0.0350","91.2100","-0.12","-0.13","91.13","91.25","91.10","531","4.84","3,623","55"
"Currency Futures","USDINR","26-Sep-2024","-","-","0.0325","83.7000","-0.08","-0.10","83.75","83.80","83.70","435","3.64","58,532","24"
"Currency Futures","GBPINR","26-Sep-2024","-","-","0.0675","108.2000","-0.08","-0.07","108.20","108.20","108.05","248","2.68","606","22"
"Currency Futures","JPYINR","29-Jul-2024","-","-","0.1400","52.7000","-0.15","-0.28","52.75","52.75","52.48","232","1.22","7,266","53"
"Currency Futures","USDINR","27-Nov-2024","-","-","0.0975","84.0175","0.05","0.06","84.00","84.05","83.90","190","1.60","19,886","10"
"Currency Futures","USDINR","29-Jan-2025","-","-","0.1450","84.1050","-0.09","-0.11","84.11","84.11","84.11","110","0.93","55,921","7"
"Currency Futures","JPYINR","28-Aug-2024","-","-","0.0100","52.9500","-0.14","-0.26","53.00","53.00","52.95","58","0.31","447","9"
"Currency Futures","USDINR","27-Dec-2024","-","-","0.0825","84.0425","0.08","0.10","84.04","84.04","84.04","13","0.11","21,824","1"
"Currency Futures","USDINR","29-Oct-2024","-","-","0.0750","83.8925","0.05","0.06","83.89","83.89","83.89","8","0.07","23,991","1"
"Currency Futures","USDINR","26-Jun-2025","-","-","0.1900","84.8000","-0.06","-0.07","84.80","84.80","84.80","5","0.04","1,182","1"
"Currency Futures","EURINR","26-Sep-2024","-","-","0.0900","91.1700","-","-","91.17","91.17","91.17","3","0.03","121","3"
"Currency Futures","GBPINR","27-Dec-2024","-","-","-","-","-","-","-","-","-","2","-","-","-"
"Currency Futures","JPYINR","26-Sep-2024","-","-","0.4000","52.8000","-","-","52.80","52.80","52.80","2","0.01","23","1"
"Currency Futures","GBPINR","27-Mar-2025","-","-","-","-","-","-","-","-","-","1","-","-","-"
"Currency Futures","GBPINR","29-Oct-2024","-","-","-","-","-","-","-","-","-","1","-","-","-"
"Currency Futures","EURINR","29-Jan-2025","-","-","-","-","-","-","-","-","-","1","-","-","-"
