"ISIN 
","TEMPORARY ISIN 
","ISSUER NAME 
","ISSUE DESCRIPTION 
","ISSUE TYPE 
","ISSUE SIZE 
(₹ Crores)","ISSUE PRICE 
(In ₹)","ISSUE/ALLOTMENT   DATE 
","MATURITY   DATE 
","COUPON 
(%)","MODE OF ISSUE 
","CREDIT RATING DETAIL 
"
"INE01C207029","","PHOENIX INFRASPACE INDIA PRIVATE LIMITED","Private Placement(non-EBP)","Reissuance","50.00","100","27-Mar-2024","11-Apr-2052","RESET RATE - INTEREST RATE IS LINKED WITH SBI BASE RATE + 500 BPS PA UNTIL BLOCK 1 IS 30% PRELEASED AND THEREAFTER PREVAILING SBI BASE RATE + 400 BPS PA","NON-EBP","[]"
"INE03S507055","","ROYALREALTORS SKY HEIGHT PRIVATE LIMITED","Private Placement(non-EBP)","Reissuance","0.50","100000","04-Jul-2024","31-Dec-2028","","NON-EBP","[]"
"INE03S507055","","ROYALREALTORS SKY HEIGHT PRIVATE LIMITED","Private Placement(non-EBP)","Reissuance","0.50","100000","04-Jul-2024","31-Dec-2028","","NON-EBP","[]"
"INE053F08403","","INDIAN RAILWAY FINANCE CORPORATION LIMITED","Private Placement(EBP)","Fresh Issuance","3,000.00","100000","15-Jul-2024","15-Jul-2034","7.39","EBP","[""CRISIL Limited AAA"",""ICRA Limited AAA"",""Credit Analysis & Research Ltd AAA""]"
"INE08XP07233","IN808XP07028","AKARA CAPITAL ADVISORS PRIVATE LIMITED","Private Placement(EBP)","Reissuance","30.00","101095","15-Jul-2024","21-Dec-2025","10.01","EBP","[]"
"INE0JN208014","","MINERVA VERITAS DATA CENTRE PRIVATE LIMITED","Private Placement(non-EBP)","Reissuance","10.00","100","04-Jun-2024","11-Sep-2053","11","NON-EBP","[]"
"INE0M7V07053","","SNAPMINT FINANCIAL SERVICES PRIVATE LIMITED","Private Placement(non-EBP)","Fresh Issuance","3.00","100000","29-Jun-2024","24-Jul-2025","15.1","NON-EBP","[]"
"INE0O7608034","","RELIANCE BEAUTY & PERSONAL CARE LIMITED","Rights Issue","Fresh Issuance","20.00","10","20-Mar-2024","19-Mar-2034","","NON-EBP","[]"
"INE0O7E08022","","NETRAVATI COMMERCIALS PRIVATE LIMITED","Rights Issue","Fresh Issuance","2.35","21270","08-May-2024","07-May-2044","","NON-EBP","[]"
"INE0OP608024","","ASHWANI COMMERCIALS PRIVATE LIMITED","Rights Issue","Fresh Issuance","5.77","16390","08-May-2024","07-May-2044","","NON-EBP","[]"
"INE0OV908020","","RAKSHITA COMMERCIALS PRIVATE LIMITED","Rights Issue","Fresh Issuance","2.44","20480","08-May-2024","07-May-2044","","NON-EBP","[]"
"INE0PIQ07014","","EBISU TECHPARK PRIVATE LIMITED","Private Placement(non-EBP)","Reissuance","7.50","100","25-Jun-2024","20-Mar-2054","SBI Base Rate","NON-EBP","[]"
"INE0RVX07027","","PUR ENERGY PRIVATE LIMITED","Private Placement(non-EBP)","Reissuance","0.27","10","26-Feb-2024","31-Mar-2030","13","NON-EBP","[]"
"INE0RVX07027","","PUR ENERGY PRIVATE LIMITED","Private Placement(non-EBP)","Reissuance","0.27","10","26-Feb-2024","31-Mar-2030","13","NON-EBP","[]"
"INE121A08PO0","","CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED","Private Placement(EBP)","Fresh Issuance","110.00","100000","15-Jul-2024","09-Apr-2031","9","EBP","[""India Ratings and Research Private Limited AA+"",""ICRA Limited AA+""]"
"INE134E07CN7","","POWER FINANCE CORPORATION LIMITED","Private Placement(non-EBP)","Fresh Issuance","88.69","10000","30-Jun-2024","30-Jun-2029","5.25","NON-EBP","[""CRISIL Limited AAA"",""ICRA Limited AAA"",""Credit Analysis & Research Ltd AAA""]"
"INE377Y07508","","BAJAJ HOUSING FINANCE LIMITED","Private Placement(EBP)","Fresh Issuance","2,850.00","100000","15-Jul-2024","14-Jul-2034","7.89%","EBP","[""CRISIL Limited AAA"",""India Ratings and Research Private Limited AAA""]"
"INE491W07493","","CAPFLOAT FINANCIAL SERVICES PRIVATE LIMITED","Private Placement(non-EBP)","Fresh Issuance","3.85","500000","14-Jun-2024","14-Dec-2025","12.5","NON-EBP","[]"
"INE491W07501","","CAPFLOAT FINANCIAL SERVICES PRIVATE LIMITED","Private Placement(non-EBP)","Fresh Issuance","4.50","500000","31-May-2024","30-Nov-2025","12.5","NON-EBP","[]"
"INE491W07519","","CAPFLOAT FINANCIAL SERVICES PRIVATE LIMITED","Private Placement(non-EBP)","Fresh Issuance","5.90","500000","07-May-2024","07-Nov-2025","12.5","NON-EBP","[]"
"INE756I08280","","HDB FINANCIAL SERVICES LIMITED","Private Placement(EBP)","Fresh Issuance","350.00","10000000","15-Jul-2024","12-Jul-9999","8.71","EBP","[""CRISIL Limited AAA"",""Credit Analysis & Research Ltd AAA""]"
"INE764S08069","","RELIANCE DIGITAL HEALTH LIMITED","Private Placement(non-EBP)","Fresh Issuance","132.50","10","20-Jun-2024","19-Jun-2044","","NON-EBP","[]"
"INE786X07999","","ORANGE RETAIL FINANCE INDIA PRIVATE LIMITED","Private Placement(non-EBP)","Fresh Issuance","0.90","100000","23-Feb-2024","23-Feb-2027","13.5","NON-EBP","[]"
"INE786X07AA5","","ORANGE RETAIL FINANCE INDIA PRIVATE LIMITED","Private Placement(non-EBP)","Fresh Issuance","1.30","100000","31-May-2024","31-May-2027","13.75","NON-EBP","[]"
"INE786X07AB3","","ORANGE RETAIL FINANCE INDIA PRIVATE LIMITED","Private Placement(non-EBP)","Fresh Issuance","10.00","10000000","24-Apr-2024","24-Apr-2027","15","NON-EBP","[]"
"INE916DA7SP4","IN8916D07290","KOTAK MAHINDRA PRIME LIMITED","Private Placement(EBP)","Reissuance","200.00","103495.6190","15-Jul-2024","21-Dec-2026","8.23","EBP","[]"
"INE916DA7SV2","","KOTAK MAHINDRA PRIME LIMITED","Private Placement(EBP)","Fresh Issuance","350.00","100000","15-Jul-2024","21-Oct-2027","8.08","EBP","[""CRISIL Limited AAA"",""ICRA Limited AAA""]"
