"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
1,"21STCENMGM","21st Century Management Services Limited","INE253B01015","ESM - II (35)"
2,"A2ZINFRA","A2z Infra Engineering Limited","INE619I01012","ESM - II (35)"
3,"AAKASH","Aakash Exploration Services Limited","INE087Z01024","ESM - I (34)"
4,"AARTECH","Aartech Solonics Limited","INE01C001018","ESM - II (35)"
5,"ABAN","Aban Offshore Limited","INE421A01028","ESM - II (35)"
6,"ABMINTLLTD","Abm International Limited","INE251C01025","ESM - I (34)"
7,"ACCURACY","Accuracy Shipping Limited","INE648Z01023","ESM - I (34)"
8,"AHLADA","Ahlada Engineers Limited","INE00PV01013","ESM - I (34)"
9,"ALPSINDUS","Alps Industries Limited","INE093B01015","ESM II & GSM 0 (37)"
10,"AMJLAND","Amj Land Holdings Limited","INE606A01024","ESM - I (34)"
11,"ANMOL","Anmol India Limited","INE02AR01019","ESM - I (34)"
12,"ARCHIDPLY","Archidply Industries Limited","INE877I01016","ESM - II (35)"
13,"ARVEE","Arvee Laboratories (India) Limited","INE006Z01016","ESM - I (34)"
14,"ASTRON","Astron Paper & Board Mill Limited","INE646X01014","ESM - II (35)"
15,"ATALREAL","Atal Realtech Limited","INE0ALR01029","ESM - II (35)"
16,"ATLANTAA","Atlantaa Limited","INE285H01022","ESM - I (34)"
17,"AUSOMENT","Ausom Enterprise Limited","INE218C01016","ESM - I (34)"
18,"AVONMORE","Avonmore Capital & Management Services Limited","INE323B01024","ESM - I (34)"
19,"BAGFILMS","B.A.G Films And Media Limited","INE116D01028","ESM - I (34)"
20,"BANKA","Banka Bioloo Limited","INE862Y01015","ESM - II (35)"
21,"BGRENERGY","Bgr Energy Systems Limited","INE661I01014","ESM - II (35)"
22,"BIL","Bhartiya International Limited","INE828A01016","ESM - I (34)"
23,"BLBLIMITED","Blb Limited","INE791A01024","ESM - I (34)"
24,"BLUECHIP","Blue Chip India Limited","INE657B01025","ESM II & GSM 0 (37)"
25,"BRNL","Bharat Road Network Limited","INE727S01012","ESM - II (35)"
26,"BROOKS","Brooks Laboratories Limited","INE650L01011","ESM - I (34)"
27,"BTML","Bodhi Tree Multimedia Limited","INE0EEJ01023","ESM - II (35)"
28,"BURNPUR","Burnpur Cement Limited","INE817H01014","ESM II & GSM 0 (37)"
29,"BYKE","The Byke Hospitality Ltd","INE319B01014","ESM - I (34)"
30,"CCHHL","Country Club Hospitality & Holidays Limited","INE652F01027","ESM - I (34)"
31,"CORDSCABLE","Cords Cable Industries Limited","INE792I01017","ESM - I (34)"
32,"CREATIVEYE","Creative Eye Limited","INE230B01021","ESM - II (35)"
33,"CROWN","Crown Lifters Limited","INE491V01019","ESM - I (34)"
34,"CUBEXTUB","Cubex Tubings Limited","INE144D01012","ESM - II (35)"
35,"DCI","Dc Infotech And Communication Limited","INE0A1101019","ESM - I (34)"
36,"DELPHIFX","Delphi World Money Limited","INE726L01019","ESM - II (35)"
37,"DGCONTENT","Digicontent Limited","INE03JI01017","ESM - I (34)"
38,"DHRUV","Dhruv Consultancy Services Limited","INE506Z01015","ESM - II (35)"
39,"DIACABS","Diamond Power Infrastructure Limited","INE989C01020","ESM - II (35)"
40,"DIGIDRIVE","Digidrive Distributors Limited","INE0PSC01024","ESM - II (35)"
41,"DJML","Dj Mediaprint & Logistics Limited","INE0B1K01014","ESM - II (35)"
42,"DRCSYSTEMS","Drc Systems India Limited","INE03RS01027","ESM - II (35)"
43,"DUCON","Ducon Infratechnologies Limited","INE741L01018","ESM - I (34)"
44,"ELECTHERM","Electrotherm (India) Limited","INE822G01016","ESM - II (35)"
45,"ELGIRUBCO","Elgi Rubber Company Limited","INE819L01012","ESM - II (35)"
46,"EMKAY","Emkay Global Financial Services Limited","INE296H01011","ESM - I (34)"
47,"ESSENTIA","Integra Essentia Limited","INE418N01035","ESM - II (35)"
48,"EXCEL","Excel Realty N Infra Limited","INE688J01023","ESM - II (35)"
49,"GANGAFORGE","Ganga Forging Limited","INE691Z01023","ESM - I (34)"
50,"GATECHDVR","Gacm Technologies Limited","INE224E01036","ESM - I (34)"
51,"GENCON","Generic Engineering Construction And Projects Limited","INE854S01022","ESM - I (34)"
52,"GLFL","Gujarat Lease Financing Limited","INE540A01017","ESM II & GSM 0 (37)"
53,"GLOBAL","Global Education Limited","INE291W01029","ESM - II (35)"
54,"GLOBALVECT","Global Vectra Helicorp Limited","INE792H01019","ESM - II (35)"
55,"GODHA","Godha Cabcon & Insulation Limited","INE925Y01036","ESM - I (34)"
56,"GOKUL","Gokul Refoils And Solvent Limited","INE020J01029","ESM - I (34)"
57,"GSS","Gss Infotech Limited","INE871H01011","ESM - I (34)"
58,"GTL","Gtl Limited","INE043A01012","ESM - II (35)"
59,"HEADSUP","Heads Up Ventures Limited","INE759V01019","ESM - I (34)"
60,"HECPROJECT","Hec Infra Projects Limited","INE558R01013","ESM - II (35)"
61,"HINDCON","Hindcon Chemicals Limited","INE642Y01029","ESM - I (34)"
62,"ICDSLTD","Icds Limited","INE613B01010","ESM - II (35)"
63,"IL&FSENGG","Il&Fs Engineering And Construction Company Limited","INE369I01014","ESM - II (35)"
64,"IL&FSTRANS","Il&Fs Transportation Networks Limited","INE975G01012","ESM II & GSM 0 (37)"
65,"IRIS","Iris Business Services Limited","INE864K01010","ESM - I (34)"
66,"IVP","Ivp Limited","INE043C01018","ESM - I (34)"
67,"JAIPURKURT","Nandani Creation Limited","INE696V01013","ESM - II (35)"
68,"JHS","Jhs Svendgaard Laboratories Limited","INE544H01014","ESM - I (34)"
69,"KALYANIFRG","Kalyani Forge Limited","INE314G01014","ESM - I (34)"
70,"KAPSTON","Kapston Services Limited","INE542Z01010","ESM - I (34)"
71,"KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited","INE234I01028","ESM - I (34)"
72,"KAVVERITEL","Kavveri Telecom Products Limited","INE641C01019","ESM - II (35)"
73,"KEEPLEARN","Dsj Keep Learning Limited","INE055C01020","ESM I & GSM 0 (36)"
74,"KMSUGAR","K.M.Sugar Mills Limited","INE157H01023","ESM - I (34)"
75,"KRIDHANINF","Kridhan Infra Limited","INE524L01026","ESM I & GSM 0 (36)"
76,"KSHITIJPOL","Kshitij Polyline Limited","INE013801027","ESM - I (34)"
77,"LAGNAM","Lagnam Spintex Limited","INE548Z01017","ESM - I (34)"
78,"LATTEYS","Latteys Industries Limited","INE262Z01023","ESM - I (34)"
79,"LCCINFOTEC","Lcc Infotech Limited","INE938A01021","ESM II & GSM 0 (37)"
80,"LGBFORGE","Lgb Forge Limited","INE201J01017","ESM - I (34)"
81,"LORDSCHLO","Lords Chloro Alkali Limited","INE846D01012","ESM - II (35)"
82,"LPDC","Landmark Property Development Company Limited","INE197J01017","ESM - I (34)"
83,"MADHUCON","Madhucon Projects Limited","INE378D01032","ESM - II (35)"
84,"MAHEPC","Mahindra Epc Irrigation Limited","INE215D01010","ESM - I (34)"
85,"MANAKCOAT","Manaksia Coated Metals & Industries Limited","INE830Q01018","ESM - II (35)"
86,"MARSHALL","Marshall Machines Limited","INE00SZ01018","ESM - II (35)"
87,"MEDICO","Medico Remedies Limited","INE630Y01024","ESM - I (34)"
88,"MEP","Mep Infrastructure Developers Limited","INE776I01010","ESM II & GSM 0 (37)"
89,"MGEL","Mangalam Global Enterprise Limited","INE0APB01024","ESM - I (34)"
90,"MKPL","M K Proteins Limited","INE964W01021","ESM - I (34)"
91,"MODTHREAD","Modern Threads (India) Limited","INE794W01014","ESM - I (34)"
92,"MOHITIND","Mohit Industries Limited","INE954E01012","ESM - I (34)"
93,"MRO-TEK","Mro-Tek Realty Limited","INE398B01018","ESM - I (34)"
