"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 14-Jul-2023"
"NIFTY MIDCAP 50","16,164.75","16,177.45","16,068.25","16,088.45","16,104.60","16.15","0.10","1,41,74,62,906","12,419.60","16,177.45","10,411.95","3.74","55.24"
"HINDPETRO","348.05","361.00","347.60","348.05","358.75","10.70","3.07","1,40,79,381","504.04","396.53","159.47","-33.21","21.69"
"INDUSTOWER","401.90","407.90","398.10","396.55","407.75","11.20","2.82","1,74,11,078","703.84","408.40","157.35","19.40","137.16"
"GODREJPROP","3,314.80","3,402.70","3,297.40","3,301.40","3,380.00","78.60","2.38","9,14,491","308.12","3,402.70","1,495.30","12.77","108.05"
"MPHASIS","2,711.00","2,806.95","2,704.05","2,736.85","2,795.25","58.40","2.13","7,77,919","215.20","2,837.60","2,069.10","16.22","31.82"
"SUZLON","54.90","56.00","54.43","54.62","55.72","1.10","2.01","7,65,77,863","423.94","56.49","17.45","12.93","207.03"
"BANDHANBNK","195.99","202.95","194.72","195.32","198.10","2.78","1.42","2,99,06,784","596.01","263.10","169.15","2.10","-7.86"
"OFSS","10,950.00","11,240.00","10,925.00","10,922.75","11,076.00","153.25","1.40","5,04,778","559.84","11,240.00","3,779.25","16.63","180.75"
"BHARATFORG","1,634.25","1,663.75","1,634.05","1,633.80","1,654.85","21.05","1.29","8,14,531","134.74","1,804.50","840.30","-3.72","90.85"
"JUBLFOOD","579.00","594.00","574.65","578.85","586.00","7.15","1.24","29,03,173","169.85","594.00","421.05","10.40","23.38"
"ESCORTS","3,990.60","4,081.90","3,953.65","3,978.05","4,025.00","46.95","1.18","10,49,253","420.64","4,409.55","2,310.30","-6.21","70.25"
"MRF","1,31,850.00","1,33,480.00","1,31,400.00","1,31,261.85","1,32,800.00","1,538.16","1.17","8,534","113.21","1,51,445.00","1,01,400.05","6.05","30.59"
"LUPIN","1,836.50","1,848.00","1,820.25","1,832.75","1,838.00","13.25","0.73","8,68,365","159.55","1,848.00","928.65","15.02","97.46"
"OBEROIRLTY","1,717.50","1,745.00","1,715.50","1,715.35","1,725.50","10.15","0.59","8,15,643","141.31","1,953.05","1,029.75","-9.45","61.49"
"ACC","2,707.00","2,744.25","2,695.30","2,695.70","2,711.05","15.35","0.57","4,46,114","121.27","2,844.00","1,762.65","2.03","49.92"
"ASHOKLEY","230.70","230.70","227.56","228.20","229.30","1.10","0.48","93,85,976","214.67","245.67","157.55","-4.77","32.49"
