"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 17-Jul-2023"
"NIFTY NEXT 50","74,612.45","74,715.60","73,807.50","74,367.35","73,921.70","-445.65","-0.60","43,38,45,070","18,585.23","74,715.60","42,539.15","2.82","66.60"
"LICI","1,065.00","1,117.80","1,058.20","1,060.30","1,105.95","45.65","4.31","1,41,85,936","1,559.76","1,175.00","597.35","3.90","78.52"
"MARICO","654.00","672.90","652.95","652.95","667.00","14.05","2.15","34,14,973","227.52","672.90","486.30","7.75","25.52"
"DABUR","634.00","648.70","630.00","632.40","641.20","8.80","1.39","29,60,104","189.62","648.70","489.20","5.31","10.08"
"DLF","833.30","851.70","831.10","833.30","843.80","10.50","1.26","31,57,792","266.67","967.60","463.05","-3.97","69.41"
"DMART","5,000.00","5,104.00","4,979.00","4,988.85","5,039.90","51.05","1.02","10,62,769","535.84","5,219.00","3,491.25","6.33","35.72"
"GODREJCP","1,439.95","1,472.00","1,434.50","1,436.70","1,450.90","14.20","0.99","11,50,984","167.40","1,472.00","959.80","4.29","36.91"
"ADANIGREEN","1,757.95","1,820.00","1,750.50","1,741.10","1,758.00","16.90","0.97","12,31,412","219.60","2,174.10","815.55","-2.57","82.32"
"ADANIENSOL","1,024.05","1,047.95","1,018.50","1,013.30","1,023.10","9.80","0.97","11,49,453","118.78","1,250.00","686.00","0.24","-"
"INDIGO","4,444.00","4,452.30","4,391.00","4,385.85","4,427.00","41.15","0.94","7,09,083","314.01","4,609.80","2,333.35","3.76","65.50"
"ATGL","904.55","915.80","897.60","895.60","904.00","8.40","0.94","31,15,537","282.05","1,259.40","522.00","-4.28","40.03"
"COLPAL","3,085.10","3,155.00","3,081.40","3,097.30","3,123.75","26.45","0.85","5,79,305","181.35","3,155.00","1,820.80","5.94","70.07"
"SHREECEM","27,747.00","28,683.20","27,647.45","27,616.85","27,800.00","183.15","0.66","99,513","279.44","30,737.75","23,026.00","1.34","15.71"
"IOC","169.50","172.30","169.25","169.70","170.70","1.00","0.59","3,38,37,471","579.47","196.80","85.50","0.22","75.39"
"ADANIPOWER","712.55","731.70","708.55","708.55","711.40","2.85","0.40","27,05,111","193.80","895.85","237.15","-4.59","189.97"
