"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"TECH","Nifty IT TRI Index","40.56","42.13","40.09","40.57","41.65","1.08","2.66","31,277","0.13","40.58","42.13","26.63",13.75,"17-Jul-2023","27.41","14-Jun-2024"
"AXISCETF","NIFTY India Consumption Index","114.16","119.20","114.16","116.49","119.20","2.71","2.33","6,939","0.08","116.40","119.70","82.52",2.59,"17-Jul-2023","37.13","14-Jun-2024"
"HDFCBSE500","HDFC S&P BSE 500 ETF","37.99","38.50","37.55","37.77","38.50","0.73","1.93","43,192","0.16","37.07","38.50","26.00",8.8,"17-Jul-2023","44.82","14-Jun-2024"
"NIF10GETF","UTI Nifty 10 yr Benchmark G-Sec ETF","23.81","23.81","23.31","23.38","23.73","0.35","1.50","878","-","23.51","27.30","21.60",1.98,"-","-","14-Jun-2024"
"MOREALTY","Motilal Oswal Nifty Realty ETF","112.18","112.89","110.94","110.94","112.54","1.60","1.44","2,70,475","3.04","110.69","115.79","85.30",-0.52,"-","-","14-Jun-2024"
"GOLDETFADD","DSP Gold ETF","73.10","73.20","72.59","72.30","73.20","0.90","1.24","38,959","0.29","72.29","75.66","55.00",3,"-","-","14-Jun-2024"
"MONQ50","Nasdaq Q-50 Total Return Index","76.65","76.65","75.74","75.74","76.65","0.91","1.20","19,247","0.15","64.07","76.65","51.50",17.35,"17-Jul-2023","41.34","14-Jun-2024"
"GOLDIETF","Gold","63.82","64.59","63.82","63.81","64.49","0.68","1.07","10,78,524","6.95","63.54","66.65","52.75",3.17,"-","-","14-Jun-2024"
"FMCGIETF","Nifty FMCG Index","63.09","63.79","62.91","62.96","63.59","0.63","1.00","9,15,233","5.80","62.87","67.95","51.96",6.17,"-","-","14-Jun-2024"
"HDFCPVTBAN","HDFC NIFTY Private Bank ETF","26.66","27.17","26.31","26.45","26.71","0.26","0.98","2,84,915","0.75","26.40","28.47","22.06",5.79,"17-Jul-2023","-88.58","14-Jun-2024"
"ABSLBANETF","Nifty Bank","53.89","53.89","53.05","53.22","53.70","0.48","0.90","55,774","0.30","53.16","55.40","39.99",5.06,"17-Jul-2023","16.29","14-Jun-2024"
"GOLDBEES","Gold","62.30","62.49","62.01","61.92","62.46","0.54","0.87","60,23,780","37.56","61.73","64.80","47.80",3.04,"17-Jul-2023","23.67","14-Jun-2024"
"TATAGOLD","Tata Gold Exchange Traded Fund","7.27","7.34","7.25","7.27","7.33","0.06","0.83","23,96,055","1.75","7.25","8.50","6.00",3.24,"-","-","14-Jun-2024"
"AXISGOLD","Gold","64.20","64.20","62.35","62.35","62.87","0.52","0.83","1,04,001","0.65","62.02","64.90","47.51",3.09,"17-Jul-2023","23.81","14-Jun-2024"
"QGOLDHALF","Gold","61.71","62.19","61.71","61.69","62.16","0.47","0.76","56,560","0.35","61.19","63.69","47.89",3.05,"17-Jul-2023","23.70","14-Jun-2024"
"HDFCGOLD","Gold","63.83","64.34","63.83","63.76","64.24","0.48","0.75","6,19,308","3.98","64.25","65.91","49.50",2.73,"17-Jul-2023","23.71","14-Jun-2024"
"IVZINGOLD","Gold","6,528.95","6,550.00","6,490.00","6,502.30","6,550.00","47.70","0.73","51","0.03","6,478.63","6,641.00","5,005.00",3.33,"17-Jul-2023","24.48","14-Jun-2024"
"SHARIABEES","Shariah","554.30","559.99","551.01","551.16","555.21","4.05","0.73","3,214","0.18","550.12","559.99","420.66",8.84,"17-Jul-2023","27.87","14-Jun-2024"
"IDFNIFTYET","Nifty 50","270.40","270.40","265.10","265.10","266.98","1.88","0.71","248","0.01","265.56","270.40","176.00",5.08,"17-Jul-2023","26.93","14-Jun-2024"
"NIFTYQLITY","Aditya Birla Sun Life Nifty 200 Quality 30 ETF","22.22","22.37","22.20","22.21","22.36","0.15","0.68","29,589","0.07","22.20","23.80","15.50",6.48,"17-Jul-2023","38.07","14-Jun-2024"
"SETFGOLD","Gold","64.59","64.59","64.01","63.91","64.32","0.41","0.64","9,93,525","6.40","63.53","65.95","49.11",3.33,"17-Jul-2023","24.04","14-Jun-2024"
"GOLDSHARE","Gold","62.60","63.00","62.60","62.55","62.95","0.40","0.64","1,70,812","1.07","62.83","64.55","48.15",3.11,"17-Jul-2023","24.65","14-Jun-2024"
"PVTBANKADD","DSP Nifty Private Bank ETF","26.32","26.60","25.99","26.32","26.48","0.16","0.61","91,208","0.24","26.30","31.00","21.75",5.95,"-","-","14-Jun-2024"
"NV20","Nifty50 Value 20","156.99","157.34","156.04","156.31","157.26","0.95","0.61","11,995","0.19","156.39","157.34","131.11",7.78,"-","-","14-Jun-2024"
"ITETFADD","DSP Nifty IT ETF","39.74","39.94","39.20","39.52","39.76","0.24","0.61","36,200","0.14","39.54","40.40","29.00",13.09,"-","-","14-Jun-2024"
"NV20","Nifty50 Value 20","156.99","157.34","156.04","156.31","157.26","0.95","0.61","11,995","0.19","156.39","157.34","131.11",7.78,"-","-","14-Jun-2024"
"SILVER","Physical price of Silver","93.29","93.39","92.55","92.75","93.30","0.55","0.59","53,491","0.50","92.93","96.88","68.70",4.3,"17-Jul-2023","21.95","14-Jun-2024"
"SILVER1","Kotak Silver ETF","90.36","91.57","90.36","90.37","90.90","0.53","0.59","49,370","0.45","90.44","94.05","67.39",4.21,"-","-","14-Jun-2024"
"MOSMALL250","Motilal Oswal Nifty Smallcap 250 ETF","17.94","17.98","17.61","17.81","17.91","0.10","0.56","6,39,647","1.14","17.78","17.98","13.00",5.61,"-","-","14-Jun-2024"
"GOLD1","Gold","62.50","62.89","62.50","62.50","62.85","0.35","0.56","6,08,217","3.82","62.06","63.95","48.00",2.93,"-","-","14-Jun-2024"
"ITIETF","Nifty IT Index","41.57","41.85","41.23","41.57","41.80","0.23","0.55","5,49,223","2.29","41.50","42.18","28.20",13.15,"-","-","14-Jun-2024"
"HDFCNIFIT","HDFC NIFTY IT ETF","40.03","40.34","39.80","40.02","40.24","0.22","0.55","52,438","0.21","39.92","44.42","29.61",12.86,"17-Jul-2023","-87.21","14-Jun-2024"
"SILVERIETF","Domestic Price of Silver","93.39","93.60","92.72","92.87","93.37","0.50","0.54","8,19,586","7.65","92.87","96.76","68.01",4.28,"-","-","14-Jun-2024"
"GOLDETF","Mirae Asset Gold ETF","72.71","73.00","72.62","72.61","73.00","0.39","0.54","60,015","0.44","72.33","82.00","56.10",2.39,"-","-","14-Jun-2024"
"CONSUMBEES","Nifty India Consumption TRI","126.55","126.55","125.89","125.89","126.55","0.66","0.52","1,10,390","1.39","125.82","127.00","89.43",2.41,"17-Jul-2023","36.63","14-Jun-2024"
"CONSUMIETF","Nifty India Consumption Index","116.77","117.64","116.77","116.78","117.38","0.60","0.51","19,629","0.23","116.81","118.00","82.53",2.37,"-","-","14-Jun-2024"
"MOGSEC","Nifty 5 yr Benchmark G-Sec Index","56.00","56.24","55.83","55.83","56.11","0.28","0.50","1,256","0.01","56.17","58.20","52.26",0.48,"17-Jul-2023","7.12","14-Jun-2024"
"NIFITETF","UTI Nifty IT ETF","393.10","396.00","392.51","393.09","395.00","1.91","0.49","740","0.03","392.42","432.00","321.68",13.28,"-","-","14-Jun-2024"
"EVINDIA","Nifty EV and New Age Automotive Total Return Index","33.21","34.02","33.21","33.05","33.21","0.16","0.48","15,32,648","5.10","33.19","34.02","33.21","-","-","-","-"
"AXSENSEX","AXIS S&P BSE SENSEX ETF","81.65","82.00","81.64","81.62","82.00","0.38","0.47","2,976","0.02","81.81","85.00","62.95",5.05,"17-Jul-2023","22.61","14-Jun-2024"
"SENSEXADD","DSP S&P BSE Sensex ETF","81.58","81.95","81.22","81.57","81.95","0.38","0.47","1,561","0.01","81.41","83.00","63.03",5.73,"-","-","14-Jun-2024"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","89.78","89.89","89.40","89.40","89.82","0.42","0.47","32,65,339","29.26","89.58","100.00","66.10",4.26,"17-Jul-2023","21.64","14-Jun-2024"
"IT","NIFTY IT Index","41.74","41.74","40.93","41.36","41.55","0.19","0.46","1,14,616","0.47","41.32","42.18","30.40",12.79,"-","-","14-Jun-2024"
"HDFCSILVER","HDFC Silver ETF","90.00","90.59","89.47","89.50","89.90","0.40","0.45","91,448","0.82","89.81","93.05","66.06",3.93,"17-Jul-2023","21.89","14-Jun-2024"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","179.49","179.99","178.01","177.97","178.77","0.80","0.45","3,06,340","5.48","178.01","183.00","108.40",5.55,"17-Jul-2023","61.51","14-Jun-2024"
"GOLDCASE","Zerodha Gold ETF","11.76","11.84","11.73","11.75","11.80","0.05","0.43","3,97,923","0.47","11.70","12.78","10.00",2.52,"-","-","14-Jun-2024"
"AXISBPSETF","Nifty AAA Bond Plus SDL Apr 2026 50:50 Index","12.25","12.25","11.87","11.87","11.92","0.05","0.42","87,337","0.10","11.89","13.30","9.50",1.28,"17-Jul-2023","7.49","14-Jun-2024"
"BBNPNBETF","Baroda BNP Paribas NIFTY Bank ETF","53.27","53.27","52.09","52.33","52.55","0.22","0.42","3,539","0.02","52.32","54.60","50.12","-","-","-","-"
"NV20BEES","Nifty50 Value20 TRI","162.10","162.10","157.37","157.36","157.98","0.62","0.39","13,381","0.21","157.08","162.10","110.59",8.31,"17-Jul-2023","37.30","14-Jun-2024"
"MIDSELIETF","S&P BSE Midcap Select Index","18.20","18.20","17.77","17.93","18.00","0.07","0.39","2,12,698","0.38","17.92","19.20","13.22",4.07,"-","-","14-Jun-2024"
"NV20IETF","Nifty50 Value 20","15.80","15.80","15.31","15.33","15.39","0.06","0.39","6,50,284","1.00","15.31","16.30","12.32",8.38,"-","-","14-Jun-2024"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI","85.55","85.97","81.95","84.47","84.80","0.33","0.39","1,22,417","1.04","84.43","86.20","53.12",6.5,"17-Jul-2023","52.65","14-Jun-2024"
"MID150CASE","Zerodha Nifty Midcap 150 ETF","10.90","10.90","10.55","10.57","10.61","0.04","0.38","1,97,346","0.21","10.56","11.98","10.08","-","-","-","-"
"EQUAL50ADD","NIFTY 50 Equal Weight Index","319.79","321.44","319.50","319.80","321.00","1.20","0.38","3,453","0.11","319.41","323.60","227.53",3.93,"-","-","14-Jun-2024"
"HEALTHIETF","Nifty Healthcare Index","134.06","135.54","133.50","134.06","134.55","0.49","0.37","29,364","0.39","134.20","138.31","91.32",4.57,"-","-","14-Jun-2024"
"HDFCNIF100","HDFC NIFTY 100 ETF","26.13","26.40","26.01","26.13","26.22","0.09","0.34","23,715","0.06","26.13","26.50","18.91",4.97,"17-Jul-2023","-86.72","14-Jun-2024"
"MOVALUE","Motilal Oswal S&P BSE Enhanced Value ETF","111.00","111.00","109.30","109.91","110.28","0.37","0.34","2,56,060","2.83","109.82","111.00","55.55",5.47,"17-Jul-2023","96.27","14-Jun-2024"
"SETF10GILT","Nifty 10 yr Benchmark G-Sec Index","232.74","233.59","232.74","232.73","233.49","0.76","0.33","1,536","0.04","232.98","267.00","213.32",0.24,"17-Jul-2023","6.98","14-Jun-2024"
"CONS","Kotak Nifty India Consumption ETF","115.50","116.41","115.47","115.18","115.56","0.38","0.33","1,770","0.02","115.65","116.41","82.00",1.78,"-","-","14-Jun-2024"
"MID150BEES","Nifty Midcap 150 TRI","222.47","222.47","219.50","219.68","220.40","0.72","0.33","3,18,917","7.03","220.04","222.99","136.00",3.73,"17-Jul-2023","57.20","14-Jun-2024"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF","59.96","60.24","59.81","59.95","60.15","0.20","0.33","10,025","0.06","59.79","60.24","42.13",5.03,"17-Jul-2023","35.32","14-Jun-2024"
"HDFCMID150","HDFC NIFTY Midcap 150 ETF","21.67","21.80","21.50","21.55","21.62","0.07","0.32","2,71,832","0.59","21.55","21.90","13.60",3.61,"17-Jul-2023","-84.35","14-Jun-2024"
"SILVERADD","DSP Silver ETF","90.00","90.28","89.70","89.87","90.16","0.29","0.32","7,869","0.07","89.87","94.40","66.20",4.02,"-","-","14-Jun-2024"
"ITBEES","Nifty IT TRI","41.87","42.00","41.33","41.61","41.74","0.13","0.31","1,01,63,662","42.41","41.56","42.25","30.88",12.88,"17-Jul-2023","28.27","14-Jun-2024"
"AUTOIETF","Nifty Auto Index","25.89","26.13","25.83","25.89","25.97","0.08","0.31","6,57,341","1.71","25.88","26.90","15.27",-0.8,"-","-","14-Jun-2024"
"HDFCLOWVOL","HDFC NIFTY100 Low Volatility 30 ETF","19.73","20.70","18.95","19.94","20.00","0.06","0.30","19,107","0.04","19.94","20.70","13.00",5.09,"17-Jul-2023","-86.66","14-Jun-2024"
"UTINIFTETF","Nifty 50","266.55","267.39","265.73","266.12","266.92","0.80","0.30","6,917","0.18","266.12","268.10","202.55",5.3,"17-Jul-2023","-87.32","14-Jun-2024"
"HDFCSENSEX","SENSEX","90.44","90.44","88.49","89.48","89.75","0.27","0.30","35,377","0.32","89.45","91.40","69.47",5.01,"17-Jul-2023","-87.70","14-Jun-2024"
"LICMFGOLD","Gold","6,749.95","6,765.00","6,737.00","6,730.00","6,750.00","20.00","0.30","172","0.12","-","6,984.95","5,111.00",2.92,"-","-","14-Jun-2024"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF","95.12","95.53","94.03","94.73","95.00","0.27","0.29","1,07,828","1.03","94.93","95.53","60.50",2.55,"-","-","14-Jun-2024"
"ESILVER","Edelweiss Silver ETF","93.49","93.80","93.31","93.48","93.75","0.27","0.29","5,752","0.05","93.46","97.97","70.71",4.12,"-","-","14-Jun-2024"
"LOWVOL1","Kotak Nifty 100 Low Vol 30 ETF","20.36","20.45","19.94","20.37","20.43","0.06","0.29","71,832","0.15","20.32","21.00","14.27",4.65,"-","-","14-Jun-2024"
