"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","GSM STAGE 
"
1,"ASIL","Amit Spinning Industries Limited","INE988A01026","GSM - VI (6)"
2,"ATNINTER","ATN International Limited","INE803A01027","GSM - VI (6)"
3,"BINANIIND","Binani Industries Limited","INE071A01013","GSM - 0 (99)"
4,"BKMINDST","Bkm Industries Limited","INE831Q01016","GSM - 0 (99)"
5,"BLUECOAST","Blue Coast Hotels Limited","INE472B01011","GSM - III (3)"
6,"CMICABLES","CMI Limited","INE981B01011","IBC - Receipt & GSM 0 (62)"
7,"DCMFINSERV","DCM Financial Services Limited","INE891B01012","GSM - 0 (99)"
8,"EDUCOMP","Educomp Solutions Limited","INE216H01027","GSM - 0 (99)"
9,"EMAMIREAL","Emami Realty Limited","INE778K01012","GSM - 0 (99)"
10,"EQUIPPP","Equippp Social Impact Technologies Limited","INE217G01035","IBC - Receipt & GSM 0 (62)"
11,"EUROTEXIND","Eurotex Industries and Exports Limited","INE022C01012","LTASM I & GSM 0 (50)"
12,"FCONSUMER","Future Consumer Limited","INE220J01025","GSM - 0 (99)"
13,"FLFL","Future Lifestyle Fashions Limited","INE452O01016","IBC - Receipt & GSM 0 (62)"
14,"FRETAIL","Future Retail Limited","INE752P01024","IBC I & GSM 0 (58)"
15,"FSC","Future Supply Chain Solutions Limited","INE935Q01015","IBC - Receipt & GSM 0 (62)"
16,"GANGOTRI","Gangotri Textiles Limited","INE670B01028","GSM - 0 (99)"
17,"GAYAHWS","Gayatri Highways Limited","INE287Z01012","GSM - IV (4)"
18,"GAYAPROJ","Gayatri Projects Limited","INE336H01023","IBC - Receipt & GSM 0 (62)"
19,"GFSTEELS","Grand Foundry Limited","INE534A01028","GSM - IV (4)"
20,"GOLDENTOBC","Golden Tobacco Limited","INE973A01010","IBC - Receipt & GSM 0 (62)"
21,"GTECJAINX","G-TEC JAINX EDUCATION LIMITED","INE586X01012","GSM - 0 (99)"
22,"HCL-INSYS","HCL Infosystems Limited","INE236A01020","GSM - 0 (99)"
23,"INFOMEDIA","Infomedia Press Limited","INE669A01022","GSM - III (3)"
24,"LAKPRE","Laxmi Precision Screws Limited","INE651C01018","IBC I & GSM 0 (58)"
25,"MASKINVEST","Mask Investments Limited","INE885F01015","GSM - III (3)"
26,"MBECL","Mcnally Bharat Engineering Company Limited","INE748A01016","GSM - 0 (99)"
27,"MELSTAR","Melstar Information Technologies Limited","INE817A01019","GSM - 0 (99)"
28,"METKORE","Metkore Alloys & Industries Limited","INE592I01029","GSM - 0 (99)"
29,"NEXTMEDIA","Next Mediaworks Limited","INE747B01016","LTASM I & GSM 0 (50)"
30,"NTL","Neueon Towers Limited","INE333I01036","IBC I & GSM 0 (58)"
31,"OMKARCHEM","Omkar Speciality Chemicals Limited","INE474L01016","IBC - Receipt & GSM 0 (62)"
32,"ORTEL","Ortel Communications Limited","INE849L01019","IBC I & GSM 0 (58)"
33,"ORTINLAB","Ortin Laboratories Limited","INE749B01020","GSM - 0 (99)"
34,"PREMIER","Premier Limited","INE342A01018","IBC I & GSM 0 (58)"
35,"QUINTEGRA","Quintegra Solutions Limited","INE033B01011","GSM - I (1)"
36,"RADAAN","Radaan Mediaworks India Limited","INE874F01027","GSM - III (3)"
37,"RAJVIR","Rajvir Industries Limited","INE011H01014","GSM - 0 (99)"
38,"SADBHIN","Sadbhav Infrastructure Project Limited","INE764L01010","GSM - 0 (99)"
39,"SANCO","Sanco Industries Limited","INE782L01012","IBC I & GSM 0 (58)"
40,"SECURKLOUD","SECUREKLOUD TECHNOLOGIES LIMITED","INE650K01021","GSM - 0 (99)"
41,"SETUINFRA","Setubandhan Infrastructure Limited","INE023M01027","IBC I & GSM 0 (58)"
42,"SHRENIK","Shrenik Limited","INE632X01030","GSM - II (2)"
43,"SILLYMONKS","Silly Monks Entertainment Limited","INE203Y01012","LTASM I & GSM 0 (50)"
44,"TAKE","Take Solutions Limited","INE142I01023","GSM - 0 (99)"
45,"TECILCHEM","TECIL Chemicals and Hydro Power Limited","INE014B01011","GSM - II (2)"
46,"UNIVAFOODS","Univa Foods Limited","INE275F01019","GSM - IV (4)"
47,"VISUINTL","Visu International Limited","INE965A01016","GSM - VI (6)"
48,"WILLAMAGOR","Williamson Magor & Company Limited","INE210A01017","GSM - 0 (99)"
49,"YAARI","Yaari Digital Integrated Services Limited","INE126M01010","GSM - 0 (99)"
