"SR. NO 
","EFFECTIVE DATE 
","SYMBOL 
","SECURITY NAME 
","FROM 
","TO 
"
1,"16-JUL-2024","WOCKPHARMA","WOCKHARDT LIMITED","20","5"
2,"16-JUL-2024","VITAL","VITAL CHEMTECH LIMITED","20","5"
3,"16-JUL-2024","VILAS","VILAS TRANSCORE LIMITED","10","5"
4,"16-JUL-2024","VERANDA","VERANDA LEARNING SOLUTIONS LIMITED","10","5"
5,"16-JUL-2024","TIRUPATIFL","TIRUPATI FORGE LIMITED","5","2"
6,"16-JUL-2024","TARC","TARC LIMITED","20","5"
7,"16-JUL-2024","SURAJEST","SURAJ ESTATE DEVELOPERS LIMITED","10","5"
8,"16-JUL-2024","SUPREMEPWR","SUPREME POWER EQUIPMENT LIMITED","20","5"
9,"16-JUL-2024","SUNDARAM","SUNDARAM MULTI PAP LIMITED","20","5"
10,"16-JUL-2024","STARTECK","STARTECK FINANCE LIMITED","10","5"
11,"16-JUL-2024","SOTAC","SOTAC PHARMACEUTICALS LIMITED","20","5"
12,"16-JUL-2024","SLONE","SLONE INFOSYSTEMS LIMITED","10","5"
13,"16-JUL-2024","SAAKSHI","SAAKSHI MEDTECH AND PANELS LIMITED","10","5"
14,"16-JUL-2024","RULKA","RULKA ELECTRICALS LIMITED","20","5"
15,"16-JUL-2024","PTCIL","PTC INDUSTRIES LIMITED","10","5"
16,"16-JUL-2024","PRECOT","PRECOT LIMITED","20","5"
17,"16-JUL-2024","PFOCUS","PRIME FOCUS LIMITED","20","5"
18,"16-JUL-2024","PCCL","PETRO CARBON AND CHEMICALS LIMITED","5","20"
19,"16-JUL-2024","PARAS","PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED","10","5"
20,"16-JUL-2024","OLIL","ONECLICK LOGISTICS INDIA LIMITED","10","5"
21,"16-JUL-2024","NIRAJISPAT","NIRAJ ISPAT INDUSTRIES LIMITED","5","20"
22,"16-JUL-2024","NBIFIN","N. B. I. INDUSTRIAL FINANCE COMPANY LIMITED","20","5"
23,"16-JUL-2024","NATHBIOGEN","NATH BIO-GENES (INDIA) LIMITED","20","5"
24,"16-JUL-2024","MOXSH","MOXSH OVERSEAS EDUCON LIMITED","10","5"
25,"16-JUL-2024","MEGATHERM","MEGATHERM INDUCTION LIMITED","20","5"
26,"16-JUL-2024","MBLINFRA","MBL INFRASTRUCTURE LIMITED","20","5"
27,"16-JUL-2024","MANDEEP","MANDEEP AUTO INDUSTRIES LIMITED","20","5"
28,"16-JUL-2024","KORE","JAY JALARAM TECHNOLOGIES LIMITED","10","5"
29,"16-JUL-2024","KICL","KALYANI INVESTMENT COMPANY LIMITED","20","5"
30,"16-JUL-2024","KELLTONTEC","KELLTON TECH SOLUTIONS LIMITED","20","10"
31,"16-JUL-2024","KBCGLOBAL","KBC GLOBAL LIMITED","10","5"
32,"16-JUL-2024","JNKINDIA","JNK INDIA LIMITED","20","5"
33,"16-JUL-2024","JFLLIFE","JFL LIFE SCIENCES LIMITED","10","5"
34,"16-JUL-2024","JETKNIT","JET KNITWEARS LIMITED","10","5"
35,"16-JUL-2024","INFOLLION","INFOLLION RESEARCH SERVICES LIMITED","20","5"
36,"16-JUL-2024","IFBAGRO","IFB AGRO INDUSTRIES LIMITED","20","5"
37,"16-JUL-2024","GEPIL","GE POWER INDIA LIMITED","10","5"
38,"16-JUL-2024","EXICOM","EXICOM TELE-SYSTEMS LIMITED","10","5"
39,"16-JUL-2024","ESSARSHPNG","ESSAR SHIPPING LIMITED","10","5"
40,"16-JUL-2024","ENFUSE","ENFUSE SOLUTIONS LIMITED","10","5"
41,"16-JUL-2024","DYNPRO","DYNEMIC PRODUCTS LIMITED","20","5"
42,"16-JUL-2024","DUCOL","DUCOL ORGANICS AND COLOURS LIMITED","20","5"
43,"16-JUL-2024","DRCSYSTEMS","DRC SYSTEMS INDIA LIMITED","5","2"
44,"16-JUL-2024","DPEL","DIVINE POWER ENERGY LIMITED","5","20"
45,"16-JUL-2024","DIGISPICE","DIGISPICE TECHNOLOGIES LIMITED","20","5"
46,"16-JUL-2024","DIGIKORE","DIGIKORE STUDIOS LIMITED","20","5"
47,"16-JUL-2024","DCXINDIA","DCX SYSTEMS LIMITED","20","5"
48,"16-JUL-2024","DCMNVL","DCM NOUVELLE LIMITED","20","5"
49,"16-JUL-2024","DCG","DCG CABLES & WIRES LIMITED","10","5"
50,"16-JUL-2024","CTE","CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED","20","5"
51,"16-JUL-2024","CANARYS","CANARYS AUTOMATIONS LIMITED","20","5"
52,"16-JUL-2024","BPL","BPL LIMITED","20","5"
53,"16-JUL-2024","BIRDYS","GRILL SPLENDOUR SERVICES LIMITED","20","5"
54,"16-JUL-2024","BBOX","BLACK BOX LIMITED","10","5"
55,"16-JUL-2024","BASILIC","BASILIC FLY STUDIO LIMITED","10","5"
56,"16-JUL-2024","ATULAUTO","ATUL AUTO LIMITED","20","5"
57,"16-JUL-2024","ANLON","ANLON TECHNOLOGY SOLUTIONS LIMITED","10","5"
58,"16-JUL-2024","AKIKO","AKIKO GLOBAL SERVICES LIMITED","5","20"
59,"16-JUL-2024","AKANKSHA","AKANKSHA POWER AND INFRASTRUCTURE LIMITED","10","5"
60,"16-JUL-2024","ACSAL","ARVIND AND COMPANY SHIPPING AGENCIES LIMITED","20","10"
61,"15-JUL-2024","VISAMAN","VISAMAN GLOBAL SALES LIMITED","5","20"
62,"15-JUL-2024","VASWANI","VASWANI INDUSTRIES LIMITED","5","20"
63,"15-JUL-2024","SYLVANPLY","SYLVAN PLYBOARD (INDIA) LIMITED","5","20"
64,"15-JUL-2024","SPCL","SHIVALIC POWER CONTROL LIMITED","5","20"
65,"15-JUL-2024","SHREERAMA","SHREE RAMA MULTI-TECH LIMITED","5","2"
66,"15-JUL-2024","ROLLT","ROLLATAINERS LIMITED","2","5"
67,"15-JUL-2024","OSWALSEEDS","SHREEOSWAL SEEDS AND CHEMICALS LIMITED","5","20"
68,"15-JUL-2024","OCCL","ORIENTAL CARBON & CHEMICALS LIMITED","5","20"
69,"15-JUL-2024","MOKSH","MOKSH ORNAMENTS LIMITED","5","10"
70,"15-JUL-2024","MASON","MASON INFRATECH LIMITED","5","20"
71,"15-JUL-2024","MALUPAPER","MALU PAPER MILLS LIMITED","5","20"
72,"15-JUL-2024","KEYFINSERV","KEYNOTE FINANCIAL SERVICES LIMITED","5","20"
73,"15-JUL-2024","KEEPLEARN","DSJ KEEP LEARNING LIMITED","2","5"
74,"15-JUL-2024","JHS","JHS SVENDGAARD LABORATORIES LIMITED","2","5"
75,"15-JUL-2024","IWEL","INOX WIND ENERGY LIMITED","5","10"
76,"15-JUL-2024","INDSWFTLTD","IND-SWIFT LIMITED","5","10"
77,"15-JUL-2024","HPL","HPL ELECTRIC & POWER LIMITED","20","10"
78,"15-JUL-2024","DUCON","DUCON INFRATECHNOLOGIES LIMITED","2","5"
79,"15-JUL-2024","CYBERMEDIA","CYBER MEDIA (INDIA) LIMITED","5","10"
80,"15-JUL-2024","ATLANTAA","ATLANTAA LIMITED","2","5"
81,"12-JUL-2024","SABEVENTS","SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED","5","2"
82,"12-JUL-2024","RETAIL","JHS SVENDGAARD RETAIL VENTURES LIMITED","20","10"
83,"12-JUL-2024","PANACHE","PANACHE DIGILIFE LIMITED","5","2"
84,"12-JUL-2024","MEDIORG","MEDICAMEN ORGANICS LIMITED","5","20"
85,"12-JUL-2024","IZMO","IZMO LIMITED","20","10"
86,"12-JUL-2024","IVP","IVP LIMITED","20","5"
87,"12-JUL-2024","HRHNEXT","HRH NEXT SERVICES LIMITED","20","10"
88,"12-JUL-2024","GENCON","GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED","10","5"
89,"11-JUL-2024","YUKEN","YUKEN INDIA LIMITED","10","5"
90,"11-JUL-2024","WINNY","WINNY IMMIGRATION & EDUCATION SERVICES LIMITED","5","20"
91,"11-JUL-2024","SHREEKARNI","SHREE KARNI FABCOM LIMITED","10","5"
92,"11-JUL-2024","RVNL","RAIL VIKAS NIGAM LIMITED","20","10"
93,"11-JUL-2024","RAYMOND","RAYMOND LIMITED","20","5"
94,"11-JUL-2024","PCJEWELLER","PC JEWELLER LIMITED","10","5"
95,"11-JUL-2024","OLIL","ONECLICK LOGISTICS INDIA LIMITED","20","10"
96,"11-JUL-2024","NARMADA","NARMADA AGROBASE LIMITED","5","2"
97,"11-JUL-2024","MCLEODRUSS","MCLEOD RUSSEL INDIA LIMITED","10","5"
98,"11-JUL-2024","MANAKALUCO","MANAKSIA ALUMINIUM COMPANY LIMITED","10","5"
99,"11-JUL-2024","GEPIL","GE POWER INDIA LIMITED","20","10"
100,"11-JUL-2024","BURNPUR","BURNPUR CEMENT LIMITED","5","2"
101,"10-JUL-2024","VIVIDHA","VISAGAR POLYTEX LIMITED","5","2"
102,"10-JUL-2024","SUPREMEINF","SUPREME INFRASTRUCTURE INDIA LIMITED","5","2"
103,"10-JUL-2024","SHARDAMOTR","SHARDA MOTOR INDUSTRIES LIMITED","20","10"
104,"10-JUL-2024","RETAIL","JHS SVENDGAARD RETAIL VENTURES LIMITED","5","20"
105,"10-JUL-2024","LPDC","LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED","10","5"
