"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 15-Jul-2024","1W AGO 
 10-Jul-2024","1M AGO 
 14-Jun-2024","1Y AGO 
 17-Jul-2023","52W H 
","52W L 
","365 D % CHNG 
 17-Jul-2023","30 D % CHNG 
 14-Jun-2024"
"NIFTY 50","24,613.00","0.11","24,615.90","24,661.25","24,587.65","-","24,586.70","24,586.70","24,324.45","23,465.60","19,711.45","24,661.25","18,837.85","24.87","4.89"
"NIFTY NEXT 50","73,921.70","-0.60","74,612.45","74,715.60","73,807.50","-","74,367.35","74,367.35","73,897.50","71,892.15","44,370.15","74,715.60","42,539.15","66.60","2.82"
"NIFTY 100","25,679.10","-0.07","25,736.10","25,762.25","25,655.00","-","25,696.05","25,696.05","25,425.65","24,571.65","19,584.80","25,762.25","18,743.30","31.12","4.51"
"NIFTY 200","13,960.90","-0.06","13,994.85","14,006.25","13,948.45","-","13,968.65","13,968.65","13,816.35","13,360.60","10,360.30","14,006.25","10,017.55","34.75","4.49"
"NIFTY 500","23,204.25","-0.02","23,258.20","23,288.05","23,181.35","-","23,209.85","23,209.85","22,977.65","22,214.30","16,872.05","23,288.05","16,466.25","37.53","4.46"
"NIFTY MIDCAP 50","16,104.60","0.10","16,164.75","16,177.45","16,068.25","-","16,088.45","16,088.45","15,947.75","15,523.60","10,373.75","16,177.45","10,411.95","55.24","3.74"
"NIFTY MIDCAP 100","57,664.00","-","57,866.65","57,909.85","57,560.50","-","57,664.45","57,664.45","56,921.15","55,225.95","36,641.25","57,909.85","36,655.25","57.37","4.41"
"NIFTY SMALLCAP 100","19,062.40","0.08","19,111.20","19,180.10","19,024.90","-","19,047.70","19,047.70","18,789.75","18,043.60","11,424.10","19,180.10","11,415.60","66.86","5.65"
"INDIA VIX","14.22","-0.24","14.19","14.59","13.80","-","14.19","14.19","14.43","12.82","11.32","31.71","8.40","25.70","10.92"
"NIFTY MIDCAP 150","21,456.50","0.04","21,528.45","21,554.45","21,419.15","-","21,448.85","21,448.85","21,266.60","20,698.25","13,709.10","21,554.45","13,742.75","56.51","3.66"
"NIFTY SMALLCAP 50","8,831.65","0.09","8,854.50","8,882.30","8,817.35","-","8,824.00","8,824.00","8,688.55","8,418.95","5,178.35","8,882.30","5,133.30","70.55","4.90"
"NIFTY SMALLCAP 250","17,774.90","0.18","17,797.10","17,885.75","17,741.60","-","17,743.15","17,743.15","17,585.70","16,845.55","11,048.90","17,885.75","11,050.45","60.87","5.52"
"NIFTY MIDSMALLCAP 400","20,176.30","0.09","20,228.80","20,280.15","20,140.35","-","20,158.80","20,158.80","19,984.80","19,341.45","12,767.25","20,280.15","12,788.95","58.03","4.32"
"NIFTY500 MULTICAP 50:25:25","16,230.35","0.02","16,267.00","16,298.50","16,210.60","-","16,227.00","16,227.00","16,071.15","15,529.45","11,226.20","16,298.50","5,531.55","44.58","4.51"
"NIFTY LARGEMIDCAP 250","16,204.25","-0.02","16,249.40","16,265.40","16,185.25","-","16,206.70","16,206.70","16,052.55","15,574.70","11,290.20","16,265.40","5,635.20","43.52","4.04"
"NIFTY MIDCAP SELECT","12,546.00","0.17","12,589.35","12,610.60","12,532.40","-","12,525.15","12,525.15","12,392.25","12,053.20","8,345.75","12,610.60","5,520.25","50.33","4.09"
"NIFTY TOTAL MARKET","13,063.40","-0.01","13,093.50","13,112.25","13,050.10","-","13,065.30","13,065.30","12,936.40","12,496.60","9,428.45","13,112.25","6,252.10","38.55","4.54"
"NIFTY MICROCAP 250","24,032.15","0.24","24,074.10","24,211.75","23,985.05","-","23,975.40","23,975.40","23,826.55","22,523.40","13,846.05","24,278.25","5,802.95","73.57","6.70"
"NIFTY BANK","52,396.80","-0.11","52,466.70","52,619.05","52,331.60","-","52,455.90","52,455.90","52,189.30","50,002.00","45,449.75","53,357.70","42,105.40","15.29","4.79"
"NIFTY AUTO","25,482.90","0.25","25,510.25","25,587.85","25,430.95","-","25,419.80","25,419.80","25,302.80","25,722.10","15,526.80","25,991.45","15,122.95","64.12","-0.93"
"NIFTY FINANCIAL SERVICES","23,648.35","-0.18","23,696.00","23,760.20","23,628.85","-","23,691.85","23,691.85","23,599.10","22,411.95","20,301.25","24,046.60","18,870.15","16.49","5.52"
"NIFTY FINANCIAL SERVICES 25/50","25,896.95","-0.31","25,992.60","26,063.30","25,867.30","-","25,977.45","25,977.45","25,839.35","24,399.90","20,402.10","-","-","26.93","6.14"
"NIFTY FMCG","60,645.15","0.96","60,144.25","60,875.15","60,004.00","-","60,070.70","60,070.70","59,349.60","57,225.85","53,471.60","60,875.15","50,607.00","13.42","5.98"
"NIFTY IT","39,141.50","0.59","39,013.75","39,280.00","38,730.55","-","38,911.35","38,911.35","37,280.75","34,598.55","31,041.60","39,567.00","29,339.35","26.09","13.13"
"NIFTY MEDIA","2,084.05","-1.03","2,114.90","2,124.15","2,080.05","-","2,105.80","2,105.80","2,011.15","2,057.85","1,988.15","2,508.60","1,717.40","4.82","1.27"
"NIFTY METAL","9,722.00","-0.08","9,775.00","9,821.90","9,708.30","-","9,729.60","9,729.60","9,722.80","9,912.10","6,500.55","10,195.60","6,346.30","49.56","-1.92"
"NIFTY PHARMA","20,765.45","-0.38","20,869.95","20,913.50","20,729.85","-","20,844.55","20,844.55","20,725.95","19,895.65","14,053.70","20,960.30","14,229.85","47.76","4.37"
"NIFTY PSU BANK","7,405.50","-0.25","7,445.85","7,498.80","7,375.60","-","7,423.85","7,423.85","7,228.65","7,464.15","4,489.15","8,053.30","4,385.15","64.96","-0.79"
"NIFTY PRIVATE BANK","26,125.75","-0.09","26,147.05","26,229.35","26,104.85","-","26,148.70","26,148.70","26,086.60","24,777.05","23,224.95","26,653.55","21,871.90","12.49","5.44"
"NIFTY REALTY","1,126.25","1.66","1,112.25","1,132.70","1,110.15","-","1,107.90","1,107.90","1,126.65","1,129.10","539.65","1,157.35","520.80","108.70","-0.25"
"NIFTY HEALTHCARE INDEX","13,158.60","-0.40","13,230.60","13,253.90","13,132.50","-","13,211.70","13,211.70","13,128.10","12,613.00","9,116.90","13,257.15","6,482.80","44.33","4.33"
"NIFTY CONSUMER DURABLES","38,709.50","0.15","38,729.85","38,926.10","38,626.10","-","38,651.90","38,651.90","38,568.25","37,978.95","27,239.35","38,951.00","14,089.55","42.11","1.92"
"NIFTY OIL & GAS","13,090.45","-0.16","13,123.65","13,194.45","13,072.60","-","13,111.60","13,111.60","12,640.90","12,095.25","7,984.65","13,194.45","4,632.70","63.95","8.23"
"NIFTY MIDSMALL HEALTHCARE","37,411.10","0.22","37,434.65","37,488.60","37,273.00","-","37,328.35","37,328.35","36,950.70","36,052.75","-","37,488.60","20,019.15","-","3.77"
"NIFTY DIVIDEND OPPORTUNITIES 50","6,630.90","0.16","6,637.05","6,659.25","6,622.90","-","6,620.45","6,620.45","6,439.30","6,219.60","4,408.00","6,659.25","4,349.90","50.43","6.61"
"NIFTY GROWTH SECTORS 15","11,806.95","0.59","11,757.40","11,825.70","11,716.45","-","11,737.60","11,737.60","11,468.10","11,089.55","9,810.25","11,825.70","9,566.40","20.35","6.47"
"NIFTY100 QUALITY 30","5,923.70","0.46","5,905.20","5,942.85","5,894.95","-","5,896.75","5,896.75","5,832.05","5,642.10","4,403.75","-","-","34.51","4.99"
"NIFTY50 VALUE 20","13,788.50","0.36","13,763.60","13,819.55","13,737.05","-","13,739.65","13,739.65","13,417.35","12,724.20","10,195.25","13,819.55","9,925.20","35.24","8.36"
"NIFTY50 TR 2X LEVERAGE","21,036.75","0.21","21,041.75","21,118.80","20,994.60","-","20,992.10","20,992.10","20,563.05","19,198.70","14,306.20","21,118.80","12,898.20","47.05","9.57"
"NIFTY50 PR 2X LEVERAGE","14,529.25","0.20","14,532.70","14,585.90","14,500.10","-","14,500.75","14,500.75","14,206.50","13,287.35","10,125.85","14,585.90","9,059.10","43.49","9.35"
"NIFTY50 TR 1X INVERSE","165.45","-0.09","165.40","165.60","165.10","-","165.60","165.60","167.25","172.75","198.75","210.55","165.10","-16.75","-4.23"
"NIFTY50 PR 1X INVERSE","198.85","-0.10","198.85","199.05","198.50","-","199.05","199.05","201.00","207.45","236.00","250.95","198.50","-15.74","-4.15"
"NIFTY50 DIVIDEND POINTS","133.04","1.53","133.04","133.04","133.04","-","131.03","131.03","129.17","108.12","93.04","-","-","42.99","23.05"
"NIFTY ALPHA 50","59,564.65","-0.41","60,022.45","60,145.50","59,357.30","-","59,811.95","59,811.95","59,007.75","56,238.65","32,671.10","-","-","82.32","5.91"
