"SYMBOL 
","SERIES 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SYLVANPLY","SM","119.75","135.45","117.05","112.90","135.45","22.55","19.97","16,56,000","21.38","135.45","62.70","-","-","-","-"
"MVKAGRO","SM","53.15","63.75","53.15","53.15","63.75","10.60","19.94","6,00,000","3.68","87.00","36.00",50.48,"-","-","14-Jun-2024"
"SMVD","SM","-","-","-","13.00","15.25","2.25","17.31","-","-","16.60","7.60","-","-","-","-"
"JETKNIT","ST","-","-","-","120.25","138.60","18.35","15.26","-","-","138.60","69.70","-","-","-","-"
"SARTE-RE","ST","22.00","33.00","15.75","26.20","30.05","3.85","14.69","9,78,000","1.88","33.00","15.75","-","-","-","-"
"GREENCHEF","SM","77.05","91.20","77.05","77.85","89.10","11.25","14.45","2,08,800","1.78","153.00","63.00",20,"-","-","14-Jun-2024"
"MADHUSUDAN","SM","146.05","171.90","146.05","154.95","170.50","15.55","10.04","1,86,000","3.06","194.65","96.00",20.15,"-","-","14-Jun-2024"
"UCL","SM","63.90","63.90","63.45","57.85","63.45","5.60","9.68","6,000","0.04","75.95","51.00",17.61,"-","-","13-Jun-2024"
"ZENITHDRUG","SM","78.00","88.80","77.90","75.95","82.80","6.85","9.02","6,24,000","5.22","114.50","52.80",23.52,"-","-","14-Jun-2024"
"SILKFLEX","SM","62.00","64.35","61.00","59.85","64.35","4.50","7.52","52,000","0.33","74.90","46.10",19.48,"-","-","14-Jun-2024"
"TRANSTEEL","SM","71.80","77.85","70.00","70.15","74.50","4.35","6.20","3,00,000","2.23","114.25","59.00",3.47,"-","-","14-Jun-2024"
"QUICKTOUCH","SM","138.50","147.90","136.40","133.85","142.00","8.15","6.09","95,500","1.38","274.00","105.00",17.15,"17-Jul-2023","3.62","14-Jun-2024"
"MDL","SM","122.70","127.80","119.95","120.50","127.80","7.30","6.06","4,16,000","5.14","129.00","30.00",17.78,"17-Jul-2023","303.81","13-Jun-2024"
"GGBL","ST","417.90","417.90","417.90","398.00","417.90","19.90","5.00","1,80,000","7.52","417.90","361.00","-","-","-","-"
"SOLEX","SM","1,489.80","1,504.75","1,460.75","1,433.10","1,504.75","71.65","5.00","38,000","5.70","1,640.00","415.00",4.33,"17-Jul-2023","149.96","14-Jun-2024"
"VINYAS","ST","1,174.00","1,175.10","1,141.00","1,119.15","1,175.10","55.95","5.00","13,200","1.55","1,442.50","313.50","-","-","-","-"
"RULKA","ST","530.00","562.05","515.00","535.30","562.05","26.75","5.00","44,400","2.45","666.60","326.75","-","-","-","-"
"VIVIANA","ST","826.00","865.75","826.00","824.55","865.75","41.20","5.00","11,500","0.98","1,097.15","130.75","-","-","-","-"
"SIDDHIKA","SM","336.85","338.45","336.85","322.35","338.45","16.10","4.99","6,000","0.20","338.45","171.20",10.08,"17-Jul-2023","77.62","14-Jun-2024"
"DTL","ST","224.00","224.00","222.00","213.35","224.00","10.65","4.99","68,400","1.53","264.60","194.10","-","-","-","-"
"SWARAJ","SM","322.00","322.90","307.60","307.55","322.90","15.35","4.99","1,05,000","3.38","322.90","84.10",49.95,"17-Jul-2023","248.73","14-Jun-2024"
"NEPHROCARE","ST","252.45","252.45","252.45","240.45","252.45","12.00","4.99","64,000","1.62","252.45","171.00","-","-","-","-"
"NIRMAN","ST","417.80","417.80","408.00","397.95","417.80","19.85","4.99","42,000","1.75","451.00","133.00","-","-","-","-"
"PRATHAM","SM","334.90","339.95","334.90","323.80","339.95","16.15","4.99","80,000","2.71","496.80","96.00",-2.06,"-","-","14-Jun-2024"
"SLONE","ST","146.70","160.00","146.70","152.40","160.00","7.60","4.99","49,600","0.79","177.00","80.25","-","-","-","-"
"ENSER","SM","203.20","203.20","203.00","193.55","203.20","9.65","4.99","24,000","0.49","203.20","62.00",29.84,"-","-","14-Jun-2024"
"VELS","SM","62.90","63.20","62.90","60.20","63.20","3.00","4.98","6,000","0.04","163.95","48.15",19.25,"17-Jul-2023","-33.19","14-Jun-2024"
"EFFWA","ST","180.25","180.25","180.25","171.70","180.25","8.55","4.98","72,000","1.30","180.25","155.80","-","-","-","-"
