"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)"," 
","CREDIT RATING 
","MATURITY DATE 
"
"830NHAI27","N2","Regular","8.30","1,000.00","1,132.00","-","7,797","0.88",,"CRISIL AAA STABLE / CARE AAA / IND AAA STABLE ","25-Jan-2027"
"897MOFSL29","N4","Regular","8.97","1,000.00","1,007.00","0.20","2,400","0.24",,"CRISIL AA Stable / FITCH AA Stable","09-May-2029"
"10IIFL28","N4","Regular","10.00","1,000.00","998.95","-0.60","1,643","0.16",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"865IIFL28","NS","Regular","8.65","1,000.00","908.00","0.67","1,781","0.16",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"891NTPC33","N6","Regular","8.91","1,000.00","1,310.00","-0.67","1,196","0.16",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2033"
"76NHAI31","NA","Regular","7.60","1,000.00","1,134.00","0.18","1,295","0.15",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2031"
"810IRFC27","N2","Regular","8.10","1,000.00","1,118.00","-0.09","1,203","0.13",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","23-Feb-2027"
"94SFL28","YL","Regular","9.40","1,000.00","1,025.00","-0.10","1,305","0.13",,"CRISIL AA+ STABLE /  IND AA+ STABLE","12-Jul-2028"
"1015ECL29","NR","Regular","10.15","1,000.00","986.00","-0.20","1,122","0.11",,"CRISIL AA STABLE / ICRA AA","04-Jan-2029"
"76IGT26","ND","Regular","7.60","1,000.00","945.25","-2.07","1,070","0.10",,"IND AAA Stable / CRISIL AAA Stable","06-May-2026"
"865LTF26","NN",,"-","-","1,045.55","-0.33","758","0.08",,,"-"
"875NHAI29","N6","Regular","8.75","1,000.00","1,156.50","0.10","535","0.06",,"CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ","05-Feb-2029"
"82IGT31","NJ","Regular","8.20","1,000.00","1,011.32","0.10","609","0.06",,"IND AAA Stable / CRISIL AAA Stable","06-May-2031"
"79NHIT35","N1","Regular","7.90","300.00","306.00","-0.37","1,990","0.06",,"CARE AAA Stable / IND AAA/Stable","24-Oct-2035"
"91MOFSL27","N2","Regular","9.10","1,000.00","1,000.15","-0.15","609","0.06",,"CRISIL AA Stable / FITCH AA Stable","09-May-2027"
"10IIFL28A","NE","Regular","10.00","1,000.00","946.00","-0.94","630","0.06",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"96IIFL28","N5","Regular","9.60","1,000.00","939.82","-0.22","591","0.06",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"96IIFL28A","NF","Regular","9.60","1,000.00","934.95","0.41","484","0.05",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"901HUDCO34","NE",,"-","-","1,301.00","-0.84","345","0.04",,,"-"
"865IFL28","NZ","Regular","8.65","1,000.00","890.00","-0.59","501","0.04",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2028"
"99IFCI24","NH","Regular","9.90","1,000.00","1,053.00","-0.19","423","0.04",,"ICRA A STABLE / BWR AA- STABLE","01-Dec-2024"
"835PCHF23","NN","Regular","9.00","1,000.00","1,059.80","0.93","406","0.04",,"CRISIL AA Stable/ BWR AA+ Negative","24-Sep-2024"
"830PFCL27","N5",,"-","-","1,130.00","0.44","361","0.04",,,"-"
"910TCAP28","NA",,"-","-","1,106.50","0.14","362","0.04",,,"-"
"94IFCI25","NL","Regular","9.40","1,000.00","1,031.00","-0.29","365","0.04",,"ICRA A STABLE / BWR AA- STABLE","13-Feb-2025"
"893NHB29","N6","Regular","8.93","5,000.00","5,845.00","0.78","61","0.04",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","24-Mar-2029"
"751HUDCO28","N5","Regular","7.51","1,000.00","1,084.00","-0.10","313","0.03",,"CARE AA+ / IND AA+","16-Feb-2028"
"985IIFL22","NC","Regular","10.00","1,000.00","990.00","-","310","0.03",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","06-Jun-2025"
"865IRFC29","NA","Regular","8.65","1,000.00","1,144.00","-","264","0.03",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","18-Feb-2029"
"79NHIT40","N2","Regular","7.90","300.00","307.00","-0.16","837","0.03",,"CARE AAA Stable / IND AAA/Stable","14-Nov-2040"
"762NTPC35F","ND","Regular","7.62","1,000.00","1,230.00","0.82","200","0.02",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2035"
"843IHFL29","NC","Regular","8.43","1,000.00","881.00","-2.11","269","0.02",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"IIFLZC26A","NR","Regular","-","1,000.00","1,080.00","2.67","227","0.02",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2026"
"739NHAI26","N8","Regular","7.39","1,000.00","1,045.00","0.01","222","0.02",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2026"
"849NTPC25","N7","Regular","8.49","10.00","5.20","-0.57","41,543","0.02",,"CRISIL AAA ","25-Mar-2025"
"975NFL25","N0","Regular","9.75","1,000.00","985.01","-","215","0.02",,"CRISIL A Stable","18-Jan-2025"
