"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","YIELD 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","NO. OF TRADES 
"
"Govt. Sec. Futures","718GS2033","25-Jul-2024","-","-","101.1000","0.15","0.15","101.05","101.10","101.05","7.01","571","11.54","16,622","-"
"Govt. Sec. Futures","710GS2034","25-Jul-2024","-","-","100.8500","0.10","0.10","100.85","100.85","100.85","6.98","1","0.02","10,841","-"
"Govt. Sec. Futures","754GS2036","27-Mar-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","754GS2036","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","754GS2036","26-Dec-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","754GS2036","25-Jul-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","754GS2036","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","710GS2034","26-Jun-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","710GS2034","27-Mar-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","710GS2034","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","710GS2034","26-Dec-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","710GS2034","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","741GS2036","26-Dec-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","741GS2036","27-Mar-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","741GS2036","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","741GS2036","26-Jun-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","741GS2036","25-Jul-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","741GS2036","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2033","26-Jun-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2033","26-Dec-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2033","27-Mar-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2033","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2033","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","726GS2032","25-Jul-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","726GS2033","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","726GS2033","26-Dec-2024","-","-","-","-","-","-","-","-","-","-","-","1,250","-"
"Govt. Sec. Futures","726GS2033","25-Jul-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","726GS2033","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","723GS2039","25-Jul-2024","-","-","-","-","-","-","-","-","-","-","-","500","-"
"Govt. Sec. Futures","723GS2039","26-Jun-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","723GS2039","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","723GS2039","26-Dec-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","723GS2039","27-Mar-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","723GS2039","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","667GS2035","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","667GS2035","25-Jul-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","667GS2035","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2037","26-Dec-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2037","26-Sep-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2037","26-Jun-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2037","29-Aug-2024","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Govt. Sec. Futures","718GS2037","25-Jul-2024","-","-","-","-","-","-","-","-","-","-","-","10,000","-"
"Govt. Sec. Futures","718GS2037","27-Mar-2025","-","-","-","-","-","-","-","-","-","-","-","-","-"
