"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE  PRICE 
(in ₹)","WEIGHTED AVERAGE  YIELD 
(YTM in %)","LAST TRADE PRICE 
","LAST TRADE YIELD 
(Annualized YTM in %)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"IN002024Y043","GOI TBILL 182D-24/10/2024","98.2096","6.7899","98.2096","6.7899","850.00","5"
"IN0020210160","GOI FRB 3yr auc 182 TB 2028","100.3200","4.6308","100.3200","4.6308","150.00","2"
"IN2220230113","SDL MH 7.46% 2033","100.8416","7.3300","100.8416","7.3300","150.00","2"
"IN0020230085","GOI LOAN  7.18% 2033","101.1100","7.0114","101.1100","7.0114","100.00","1"
"IN0020240027","GOI LOAN  7.23% 2039","101.9650","7.0123","101.9650","7.0123","100.00","1"
"IN3120210114","SDL TN 6.98% 2031","98.2709","7.3000","98.2709","7.3000","100.00","1"
"IN1520150070","SDL GUJARAT 8.12% 2025","101.2471","7.1000","101.2471","7.1000","75.00","1"
"IN3120190126","SDL Tamilnadu 6.9% 2025","99.7507","7.1000","99.7507","7.1000","75.00","1"
"IN0020240019","GOI LOAN  7.1% 2034","100.8769","6.9722","100.8850","6.9710","65.00","2"
"IN002023Z398","GOI TBILL 364D-12/12/2024","97.3306","6.8100","97.3306","6.8100","50.00","1"
"IN1920230118","SDL KA 7.72% 2035","103.0074","7.3250","103.0074","7.3250","50.00","2"
"IN1520220279","SDL GJ 7.71% 2034","102.6495","7.3200","102.6495","7.3200","34.76","1"
"IN1920230100","SDL KA 7.72% 2035","103.0025","7.3250","103.0025","7.3250","26.03","1"
"IN1520220295","SDL GJ 7.72% 2035","102.9098","7.3200","102.9098","7.3200","25.00","1"
"IN3120180200","SDL TAMIL NADU 8.08% 2028","103.0380","7.2650","103.0380","7.2650","25.00","1"
"IN3320230151","SDL UP 7.73% 2034","102.7100","7.3487","102.7100","7.3487","25.00","1"
"IN2220230147","SDL MH 7.7% 2034","102.6275","7.3300","102.6275","7.3300","15.98","1"
"IN2220170103","SDL MAHARASHTRA 7.33% 2027","100.4865","7.1500","100.4865","7.1500","15.00","1"
"IN2220180045","SDL MAHARASHTRA 8.42% 2028","103.9912","7.2600","103.9912","7.2600","10.00","1"
