"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"BHARTIARTL","1,437.60","1,452.00","14.40","1.00","1,452.00","33,719","4.90","3,91,568.17","1,536.25","847.05"
"M&M","2,731.05","2,754.95","23.90","0.88","2,754.95","61,889","17.05","2,66,950.32","3,013.50","1,415.75"
"INFY","1,707.05","1,718.60","11.55","0.68","1,718.60","33,165","5.70","6,23,151.80","1,737.90","1,305.00"
"ADANIENT","3,090.40","3,110.00","19.60","0.63","3,110.00","3,013","0.94","81,452.51","3,743.90","2,142.00"
"TATASTEEL","166.76","167.80","1.04","0.62","167.80","78,384","1.32","1,37,799.41","184.60","114.35"
"ULTRACEMCO","11,833.65","11,907.05","73.40","0.62","11,907.05","1,283","1.53","1,34,879.39","12,078.00","7,987.65"
"HDFCLIFE","638.05","642.00","3.95","0.62","642.00","19,932","1.28","68,055.48","710.60","511.40"
"GRASIM","2,803.75","2,818.00","14.25","0.51","2,818.00","1,421","0.40","1,04,023.91","2,852.95","1,748.60"
"BAJAJ-AUTO","9,673.35","9,715.00","41.65","0.43","9,715.00","2,228","2.16","1,08,243.57","10,038.80","4,541.00"
"NESTLEIND","2,605.10","2,604.60","10.75","0.41","2,604.60","1,211","0.32","92,823.27","2,769.30","2,145.00"
"WIPRO","559.70","561.85","2.15","0.38","561.85","21,162","1.19","79,014.16","566.90","375.05"
"ONGC","322.50","323.60","1.10","0.34","323.60","2,82,063","9.13","1,25,751.84","327.60","166.00"
"TECHM","1,499.05","1,503.35","4.30","0.29","1,503.35","1,359","0.20","96,296.97","1,527.50","1,082.30"
"NTPC","385.65","386.65","1.00","0.26","386.65","67,174","2.60","1,80,765.73","393.20","185.80"
"BAJFINANCE","7,063.75","7,080.00","16.25","0.23","7,080.00","839","0.59","1,96,237.31","8,192.00","6,187.80"
"LTIM","5,478.15","5,490.10","11.95","0.22","5,490.10","878","0.48","51,175.25","6,442.00","4,513.55"
"HINDUNILVR","2,620.30","2,625.95","5.65","0.22","2,625.95","2,851","0.75","2,39,657.37","2,725.00","2,172.05"
"HEROMOTOCO","5,606.35","5,617.00","10.65","0.19","5,617.00","341","0.19","72,358.42","5,894.55","2,890.00"
"SUNPHARMA","1,586.20","1,589.00","2.80","0.18","1,589.00","1,487","0.24","1,70,160.84","1,638.85","1,063.85"
"BAJAJFINSV","1,602.20","1,605.00","2.80","0.17","1,605.00","2,054","0.33","87,401.28","1,741.00","1,419.05"
"SHRIRAMFIN","2,882.30","2,886.90","4.60","0.16","2,886.90","1,724","0.50","78,445.23","3,059.45","1,755.20"
"TITAN","3,224.20","3,227.95","3.75","0.12","3,227.95","1,462","0.47","1,35,046.04","3,886.95","2,882.45"
"SBIN","881.35","882.30","0.95","0.11","882.30","35,837","3.16","3,38,474.85","912.00","543.20"
"TATAMOTORS","1,024.45","1,025.50","1.05","0.10","1,025.50","23,051","2.36","1,79,694.30","1,065.60","593.30"
"ASIANPAINT","2,956.50","2,959.00","2.50","0.08","2,959.00","3,661","1.08","1,33,984.58","3,568.00","2,670.10"
"BPCL","307.75","308.00","0.25","0.08","308.00","18,729","0.58","61,713.07","343.98","165.73"
"DRREDDY","6,794.75","6,759.95","5.20","0.08","6,759.95","1,292","0.87","80,987.48","6,884.95","5,093.00"
"INDUSINDBK","1,444.05","1,445.05","1.00","0.07","1,445.05","1,554","0.22","95,398.68","1,694.50","1,354.05"
"TCS","4,169.20","4,172.00","2.80","0.07","4,172.00","9,051","3.78","4,22,554.27","4,254.75","3,311.00"
"ADANIPORTS","1,495.05","1,496.00","0.95","0.06","1,496.00","6,882","1.03","1,09,983.47","1,621.40","725.60"
"COALINDIA","497.75","498.00","0.25","0.05","498.00","9,723","0.48","1,16,917.74","527.40","226.85"
"JSWSTEEL","931.70","932.15","0.45","0.05","932.15","1,185","0.11","88,939.82","959.40","723.00"
"BRITANNIA","5,809.70","5,812.00","2.30","0.04","5,812.00","898","0.52","69,216.03","5,880.00","4,347.70"
"HINDALCO","700.10","700.30","0.20","0.03","700.30","10,684","0.75","1,00,897.21","715.25","431.50"
"ITC","463.40","463.45","0.05","0.01","463.45","63,565","2.95","4,30,403.69","499.70","399.35"
"ICICIBANK","1,229.95","1,230.00","0.05","0.00","1,230.00","46,980","5.78","8,71,705.78","1,257.80","899.00"
"EICHERMOT","4,881.35","4,881.40","0.05","0.00","4,881.40","446","0.22","67,406.59","4,976.00","3,274.90"
"CIPLA","1,517.20","1,517.20","-","-","1,517.20","2,209","0.34","79,173.91","1,582.00","1,019.50"
"DIVISLAB","4,575.40","4,575.40","-","-","4,575.40","99","0.05","58,237.01","4,670.00","3,295.30"
"APOLLOHOSP","6,437.25","6,437.25","-","-","6,437.25","496","0.32","64,979.16","6,874.45","4,726.00"
"TATACONSUM","1,148.80","1,148.80","-","-","1,148.80","2,492","0.29","73,892.34","1,269.00","828.25"
"AXISBANK","1,307.45","1,307.45","-","-","1,307.45","7,756","1.01","3,71,221.18","1,339.65","927.15"
"SBILIFE","1,613.45","1,613.40","-0.05","-0.00","1,613.40","3,317","0.54","72,960.87","1,639.60","1,251.65"
"MARUTI","12,643.95","12,643.00","-0.95","-0.01","12,643.00","1,153","1.46","1,66,910.04","13,300.00","9,254.15"
"KOTAKBANK","1,843.55","1,842.10","-1.45","-0.08","1,842.10","3,492","0.64","2,65,810.16","1,987.75","1,543.85"
"HDFCBANK","1,622.10","1,620.75","-1.35","-0.08","1,620.75","2,18,938","35.48","12,20,943.86","1,794.00","1,363.55"
"LT","3,651.60","3,646.10","-5.50","-0.15","3,646.10","2,157","0.79","4,25,378.00","3,919.90","2,465.00"
"RELIANCE","3,194.45","3,187.00","-7.45","-0.23","3,187.00","79,495","25.34","10,65,040.77","3,217.60","2,220.30"
"HCLTECH","1,569.60","1,565.00","-4.60","-0.29","1,565.00","20,921","3.27","1,65,882.55","1,697.35","1,095.00"
"POWERGRID","343.85","342.75","-1.10","-0.32","342.75","38,653","1.32","1,56,201.32","348.75","179.40"
