"SYMBOL 
","BEST BID QTY 
","BEST BID PRICE 
","BEST OFFERS PRICE 
","BEST OFFERS QTY 
","LTP 
","UNDERLYING LTP 
","FUTURES LTP 
","SPREAD 
","SPREAD 
(%)","OPEN POSITIONS 
","ANNUALISED YIELD 
(% p.a)","VOLUME 
","TURNOVER 
","TRANSACTION VALUE 
","CA 
"
"OFSS","-","-","-","-","-","10,925.00","-","10,925.00","100.00","-","-","-","-","-","18-Jul-2024"
"CANFINHOME","-","-","-","-","-","877.65","-","877.65","100.00","-","-","-","-","-","18-Jul-2024"
"LTTS","-","-","-","-","-","4,867.00","4,786.65","80.35","1.65","-","-","-","-","-","14-Jun-2024"
"SYNGENE","-","-","-","-","-","752.50","742.25","10.25","1.36","-","-","-","-","-","28-Jun-2024"
"ABBOTINDIA","-","-","-","-","-","28,552.15","28,253.65","298.50","1.05","-","-","-","-","-","21-Jul-2023"
"JKCEMENT","-","-","-","-","-","4,426.00","4,380.40","45.60","1.03","-","-","-","-","-","09-Jul-2024"
"ASIANPAINT","-","-","-","-","-","2,972.00","2,944.25","27.75","0.93","-","-","-","-","-","11-Jun-2024"
"IPCALAB","-","-","-","-","-","1,224.00","1,213.65","10.35","0.85","-","-","-","-","-","22-Nov-2023"
"PVRINOX","-","-","-","-","-","1,433.65","1,423.70","9.95","0.69","-","-","-","-","-","09-Jul-2020"
"HCLTECH","-","-","-","-","-","1,567.40","1,558.25","9.15","0.58","-","-","-","-","-","07-May-2024"
"GNFC","-","-","-","-","-","687.50","683.70","3.80","0.55","-","-","-","-","-","24-Nov-2023"
"PAGEIND","-","-","-","-","-","40,709.50","40,490.70","218.80","0.54","-","-","-","-","-","31-May-2024"
"UBL","-","-","-","-","-","2,083.10","2,072.00","11.10","0.53","-","-","-","-","-","03-Aug-2023"
"BOSCHLTD","-","-","-","-","-","35,170.00","34,997.30","172.70","0.49","-","-","-","-","-","19-Jul-2024"
"PIDILITIND","-","-","-","-","-","3,173.05","3,159.55","13.50","0.43","-","-","-","-","-","27-Jul-2023"
"CHAMBLFERT","-","-","-","-","-","508.00","506.00","2.00","0.39","-","-","-","-","-","18-Jan-2024"
"INDIACEM","-","-","-","-","-","324.20","323.10","1.10","0.34","-","-","-","-","-","14-Sep-2023"
"BHARATFORG","-","-","-","-","-","1,654.85","1,649.60","5.25","0.32","-","-","-","-","-","05-Jul-2024"
"EXIDEIND","-","-","-","-","-","557.15","555.50","1.65","0.30","-","-","-","-","-","22-Jul-2024"
"SHRIRAMFIN","-","-","-","-","-","2,820.00","2,812.90","7.10","0.25","-","-","-","-","-","23-Jul-2024"
"MFSL","-","-","-","-","-","1,039.95","1,038.00","1.95","0.19","-","-","-","-","-","14-Aug-2023"
"VOLTAS","-","-","-","-","-","1,523.30","1,520.55","2.75","0.18","-","-","-","-","-","25-Jun-2024"
"GODREJPROP","-","-","-","-","-","3,380.00","3,375.00","5.00","0.15","-","-","-","-","-","27-Jul-2015"
"INDUSTOWER","-","-","-","-","-","407.75","407.20","0.55","0.13","-","-","-","-","-","13-May-2022"
"EICHERMOT","-","-","-","-","-","4,920.00","4,914.45","5.55","0.11","-","-","-","-","-","14-Aug-2023"
"OBEROIRLTY","-","-","-","-","-","1,725.50","1,723.85","1.65","0.10","-","-","-","-","-","24-Jun-2024"
"DABUR","-","-","-","-","-","641.20","640.55","0.65","0.10","-","-","-","-","-","19-Jul-2024"
"BHEL","-","-","-","-","-","320.00","319.70","0.30","0.09","-","-","-","-","-","11-Aug-2023"
"HINDCOPPER","-","-","-","-","-","329.30","329.00","0.30","0.09","-","-","-","-","-","22-Sep-2023"
"CUMMINSIND","-","-","-","-","-","3,860.00","3,856.95","3.05","0.08","-","-","-","-","-","21-Feb-2024"
"BERGEPAINT","-","-","-","-","-","520.50","520.15","0.35","0.07","-","-","-","-","-","22-Sep-2023"
"BATAINDIA","-","-","-","-","-","1,531.00","1,530.05","0.95","0.06","-","-","-","-","-","03-Aug-2023"
"IDEA","-","-","-","-","-","16.70","16.69","0.01","0.06","-","-","-","-","-","07-Jul-2023"
"APOLLOHOSP","-","-","-","-","-","6,456.00","6,452.40","3.60","0.06","-","-","-","-","-","20-Feb-2024"
"DLF","-","-","-","-","-","843.80","843.40","0.40","0.05","-","-","-","-","-","28-Jul-2023"
"ABB","-","-","-","-","-","8,235.00","8,231.05","3.95","0.05","-","-","-","-","-","03-May-2024"
"SBICARD","-","-","-","-","-","732.50","732.15","0.35","0.05","-","-","-","-","-","28-Mar-2024"
"SUNTV","-","-","-","-","-","810.00","809.75","0.25","0.03","-","-","-","-","-","08-Apr-2024"
"BANKBARODA","-","-","-","-","-","258.85","258.80","0.05","0.02","-","-","-","-","-","28-Jun-2024"
