"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBMAR28X","-","7,650.00","7,848.99","7,650.00","7,511.00","7,848.99","337.99","4.50","20","0.02","7,848.99","5,724.00",7.52,"17-Jul-2023","34.44","14-Jun-2024"
"SGBOCT27VI","-","7,600.00","7,600.00","7,600.00","7,381.97","7,600.00","218.03","2.95","3","-","7,739.97","5,750.01",4.11,"17-Jul-2023","30.14","14-Jun-2024"
"SGBOCT25","2,906.00","7,700.00","7,700.00","7,470.11","7,465.00","7,650.00","185.00","2.48","59","0.04","8,188.95","5,820.00",4.75,"17-Jul-2023","29.80","14-Jun-2024"
"SGBJU29III","-","7,605.00","7,975.00","7,605.00","7,701.00","7,875.00","174.00","2.26","209","0.16","8,000.00","5,722.00",7.86,"17-Jul-2023","35.65","14-Jun-2024"
"SGBJAN29X","-","7,740.00","8,100.00","7,740.00","7,740.00","7,900.00","160.00","2.07","151","0.12","8,100.00","5,780.00",6.13,"17-Jul-2023","34.18","14-Jun-2024"
"SGBNV29VII","-","7,739.00","7,800.00","7,636.00","7,630.25","7,775.00","144.75","1.90","359","0.28","7,800.00","5,790.00",6.27,"17-Jul-2023","31.92","14-Jun-2024"
"SGBDE30III","-","7,838.00","8,141.39","7,821.00","7,790.80","7,921.00","130.20","1.67","420","0.34","8,141.39","5,756.00",6.07,"17-Jul-2023","35.26","14-Jun-2024"
"SGBFEB29XI","-","7,795.80","7,854.00","7,650.00","7,700.00","7,828.00","128.00","1.66","53","0.04","7,854.00","5,762.10",5.82,"17-Jul-2023","33.32","14-Jun-2024"
"SGBJUN29II","-","7,700.00","7,785.00","7,562.01","7,657.32","7,784.00","126.68","1.65","139","0.11","7,785.00","5,751.00",5.67,"17-Jul-2023","34.05","14-Jun-2024"
"SGBN28VIII","-","7,696.00","7,815.00","7,660.00","7,695.99","7,803.01","107.02","1.39","444","0.34","7,815.00","5,801.00",6.89,"17-Jul-2023","34.01","14-Jun-2024"
"SGBJAN30IX","-","7,725.00","7,829.99","7,720.00","7,725.00","7,829.99","104.99","1.36","120","0.09","7,829.99","5,693.00",6.53,"17-Jul-2023","34.53","14-Jun-2024"
"SGBJUL25","2,780.00","7,599.00","7,700.00","7,599.00","7,599.00","7,700.00","101.00","1.33","18","0.01","7,750.00","5,681.00",5.47,"17-Jul-2023","31.93","13-Jun-2024"
"SGBJUL27","-","7,500.21","7,783.30","7,500.21","7,683.30","7,783.30","100.00","1.30","2","-","7,783.30","5,770.03",8.37,"14-Jul-2023","34.83","14-Jun-2024"
